String,Type,label,aug
Only 3 items left,Scarcity,1,0
Crop Tops,Not Dark Pattern,0,0
 More Sports ,Not Dark Pattern,0,0
It is the perfect shade of brown with red highlights and is very beautiful.,Not Dark Pattern,0,1
"NO THANKS, I DON’T MIND MISSING OUT",Misdirection,1,0
There was a flash in the 19th century.,Urgency,1,1
The Icon MTB Socks are black and green.,Not Dark Pattern,0,1
Theresa from Botkins just bought a dress.,Social Proof,1,1
00 DAYS 00 HOURS 29 MINUTES 26 SECONDS,Urgency,1,0
Current Offers,Not Dark Pattern,0,0
Horizon Wide Neck Sweatshirt,Not Dark Pattern,0,0
 Supply & Demand ,Not Dark Pattern,0,0
A professional color tool kit and addons.,Misdirection,1,1
 Get The Look The Full Story Shop Now Read More ,Not Dark Pattern,0,0
Someone in Egypt bought,Social Proof,1,0
"This week, I purchased 6 times.",Social Proof,1,1
 All Clothing ,Not Dark Pattern,0,0
These cookies are necessary for the website to function and can't be turned off.,Not Dark Pattern,0,1
 Functional Marketing Cookies,Not Dark Pattern,0,0
"NO, I'LL PAY FULL PRICE",Misdirection,1,0
Low in stock: only 1 left.,Scarcity,1,0
I love the quality of the contacts and would order them again.,Not Dark Pattern,0,1
We only have 8.0000 left in Stock,Scarcity,1,0
"If you don't want to be contacted via email, please check the box.",Misdirection,1,1
"Someone in Ampang, Malaysia just bought",Social Proof,1,0
Pillow & Foam Bed Wedges,Not Dark Pattern,0,0
Straight Hair Extensions,Not Dark Pattern,0,0
Harry Potter ,Not Dark Pattern,0,0
The time is 21 seconds.,Urgency,1,1
Women's acid wash sweater.,Not Dark Pattern,0,1
The Carbon Wheelset was Synthesis.,Not Dark Pattern,0,1
1 person is viewing this,Social Proof,1,0
"No Thanks, I don't like exclusive deals.",Misdirection,1,0
Strength & Functional Training,Not Dark Pattern,0,0
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",Social Proof,1,0
 Fashion Short Sleeve Crew Neck Print Dress ,Not Dark Pattern,0,0
WhiteBoho Rose Comforter and Sham Set,Not Dark Pattern,0,0
Do you want free shipping?,Misdirection,1,1
"Nah, I like paying full price",Misdirection,1,0
The frame is out of stock.,Not Dark Pattern,0,1
30 people have purchased this item,Social Proof,1,0
Body Washes,Not Dark Pattern,0,0
There are no items in your basket.,Not Dark Pattern,0,1
The world's most densely populated areas are ADD world's most densely populated areas.,Misdirection,1,1
Hair Care Sets,Not Dark Pattern,0,0
"Hurry, Only 4 Left In Stock. Buy Now!",Scarcity,1,0
Plus Size Ripped Jeans,Not Dark Pattern,0,0
Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.,Not Dark Pattern,0,0
 Subscribe To Us Subscribe ,Not Dark Pattern,0,0
"If you want your sofa to look great, protect it with Castelan Fabric Protection.",Misdirection,1,1
 How to Recycle ,Not Dark Pattern,0,0
limited availability at this price!,Scarcity,1,0
"No thanks, I don’t like fun and games.",Misdirection,1,0
Shop by Activity,Not Dark Pattern,0,0
You can get 2 pillows for free when you place your order in the next 15 minutes.,Urgency,1,1
I'd pay the full price.,Misdirection,1,1
Rachel Comey,Not Dark Pattern,0,0
I don't want a discount,Misdirection,1,0
"I would rather join the ""Pay Full Price for Things"" club.",Misdirection,1,1
Most of our orders are from repeat customers.,Not Dark Pattern,0,0
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Urgency,1,0
 Track your order by entering your order number and email below or if you would like to create an account or log in (click here) ,Not Dark Pattern,0,0
Retro Cordless Edison Bulb Lamp,Not Dark Pattern,0,0
Save $5 on all orders and get a free gift on $125+ orders.,Urgency,1,1
"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",Social Proof,1,0
Only 6 items left,Scarcity,1,0
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Social Proof,1,0
"NO, THANKS. I DON'T LIKE DISCOUNTS ",Misdirection,1,0
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Urgency,1,0
Bearded Dragon Substrates,Not Dark Pattern,0,0
 All Brands A-Z ,Not Dark Pattern,0,0
"About 16 minutes ago, Cheryl in Ontario bought 100g of Reishi Mushroom Powder.",Social Proof,1,1
DAYS HRS MINS SECS,Urgency,1,0
Only 4 left!,Scarcity,1,0
The patch system has been adjusted.,Not Dark Pattern,0,1
Immunity & Well BeingLean Muscle MassWeight LossBulk GainStress & Relaxation,Not Dark Pattern,0,0
"No, thanks. I'd rather pay full price.",Misdirection,1,0
We are currently accepting orders.,Not Dark Pattern,0,1
"Only 2 left, order soon",Scarcity,1,0
Over 38 bought,Social Proof,1,0
 Other Snacks ,Not Dark Pattern,0,0
Accessibly App features,Not Dark Pattern,0,0
Only 9 left in stock,Scarcity,1,0
Air Conditioners on the wall.,Not Dark Pattern,0,1
" ... It covers love and loss, friendship and pain through ",Not Dark Pattern,0,0
Join the Team,Not Dark Pattern,0,0
"No thanks, free stuff isn't for me.",Misdirection,1,0
Fashion Forward,Not Dark Pattern,0,0
Protect your sofa with Castelan Fabric Protection for just £80.,Misdirection,1,1
Only 4 left in this size!,Scarcity,1,0
Limited-time Offer: Bundle a base and get 20% off,Misdirection,1,0
Purchase the new pear pillowcase and get one free.,Urgency,1,1
TRE by Natalie Ratabesi,Not Dark Pattern,0,0
Ericdress Round Neck Three-Quarter Sleeve Mid-Calf Pullover Fall Women's Dress,Not Dark Pattern,0,0
I would prefer not to save.,Misdirection,1,1
 Redirecting to Futech Deals for secure checkout... ,Not Dark Pattern,0,0
 Men's Apparel Collection ,Not Dark Pattern,0,0
"We try to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods, then please try to use it again or recycle if not possible.",Not Dark Pattern,0,1
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",Social Proof,1,0
Mary Janes was a woman.,Not Dark Pattern,0,1
Hurry up! 6 people other than you have this product in their cart,Social Proof,1,0
I will skip this amazing deal.,Misdirection,1,1
Camo Shirts & T Shirts,Not Dark Pattern,0,0
Offer ends in 9hrs 55min 29sec!,Urgency,1,0
Hurry! Only 7 left,Scarcity,1,0
The shorts have high waists.,Not Dark Pattern,0,1
In Stock - Limited Quantity,Scarcity,1,0
"I want to start shopping, but I don't want to get daily email notifications about the amazing discounts on luxury brands.",Misdirection,1,1
-90% discount if you order within 9:55:44,Urgency,1,0
Directing to Futech Deals for a secure checkout...,Not Dark Pattern,0,1
LIMITED TIME OFFER,Urgency,1,0
You can get 10% off if you complete your purchase within the next 12 minutes.,Urgency,1,1
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Social Proof,1,0
Men's sweaters.,Not Dark Pattern,0,1
I don't want 15% off.,Misdirection,1,1
• State-by-State Restrictions,Not Dark Pattern,0,0
 Light powerful. ,Not Dark Pattern,0,0
Bob's Outreach ,Not Dark Pattern,0,0
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Social Proof,1,0
tedpullin,Not Dark Pattern,0,0
Lasers ,Not Dark Pattern,0,0
5 people are looking at this product right now,Social Proof,1,0
Back by Demand,Not Dark Pattern,0,0
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Social Proof,1,0
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern,0,0
 Search Close ,Not Dark Pattern,0,0
"Hurry, this style is selling fast!",Scarcity,1,0
Green Tea is made up of properties that have been known to increase caloric expenditure as well as the metabolism of fat,Not Dark Pattern,0,0
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Urgency,1,0
The Terani Couture - 1911E9500 embroidered asymmetric neck gown was bought byDenise in Virginia.,Social Proof,1,1
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Social Proof,1,0
Work Solid Simple Crew Neck Half Sleeve Top,Not Dark Pattern,0,0
Delivery & support,Not Dark Pattern,0,0
Hurry! Only 2 left in stock,Scarcity,1,0
ShopClose has a menu.,Not Dark Pattern,0,1
 Articles: Medical Matters ,Not Dark Pattern,0,0
Lenscap: Damage Only,Misdirection,1,0
Natalie Ratabesi wrote TRE.,Not Dark Pattern,0,1
Only 1 item(s) left in stock,Scarcity,1,0
Someone from Princeton viewed this product 26 seconds ago.,Social Proof,1,1
"$3,159.20 $3,949.00 Limited time only",Urgency,1,0
Casual Wear,Not Dark Pattern,0,0
Only damage is allowed in the lens cap.,Misdirection,1,1
"No thanks, I don't like discounts",Misdirection,1,0
52 people are looking at this right now.,Social Proof,1,0
 All Men's Brands ,Not Dark Pattern,0,0
308 viewed per day,Social Proof,1,0
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Urgency,1,0
Shopping with JD,Not Dark Pattern,0,0
Your order is reserved for 09:14 minutes! ,Urgency,1,0
"In the last 24 hours, 7 people looked at this product.",Social Proof,1,1
Thanks! -RMO Team,Not Dark Pattern,0,0
 powered by: Cookie Information ,Not Dark Pattern,0,0
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",Social Proof,1,0
Only 8 Left!,Scarcity,1,0
eWriters & Graphics Tablets,Not Dark Pattern,0,0
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Social Proof,1,0
Only a few more left!,Scarcity,1,0
Cleaning Brushes & Tools,Not Dark Pattern,0,0
"NO, I DON'T FEEL LUCKY",Misdirection,1,0
"The competition cost $1,299.99.",Misdirection,1,1
 Best-Selling Products ,Not Dark Pattern,0,0
Brandon Blackwood,Not Dark Pattern,0,0
___,Not Dark Pattern,0,0
 Mountboard ,Not Dark Pattern,0,0
There are other promotions.,Not Dark Pattern,0,1
ONLY 1 WATCH LEFT,Scarcity,1,0
Pleated Skirts,Not Dark Pattern,0,0
Limited Time,Urgency,1,0
 New Arrivals,Not Dark Pattern,0,0
"Fancy some creative inspiration, news and offers? Sign up for SAA enewsletters today.",Not Dark Pattern,0,0
There is a discount of $10 off.,Urgency,1,1
Natural Backgrounds,Not Dark Pattern,0,0
"No Thanks, I'd rather pay full price",Misdirection,1,0
I prefer to pay more for shoes.,Misdirection,1,1
Your order will be ready for 09:57 minutes.,Urgency,1,1
 Lens Manual Washer ,Not Dark Pattern,0,0
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",Not Dark Pattern,0,0
Great choice!,Not Dark Pattern,0,0
OFFER ENDS: 09h: 09m: 55s: 0 ,Urgency,1,0
 Electric Daisy ,Not Dark Pattern,0,0
ONLY 1 LEFT IN STOCK,Scarcity,1,0
There are wine cases.,Not Dark Pattern,0,1
Warne Mounts,Not Dark Pattern,0,0
Extra 30 ends in: 0 0 0 days 0 0 4 hours.,Urgency,1,1
The Jeanne E. Bray Memorial Scholarship was established.,Not Dark Pattern,0,1
Herbaceous oil rich in anti-aging polyphenols.,Not Dark Pattern,0,0
Black and white are refined by color.,Not Dark Pattern,0,1
HomeFlowersColourful Mixed Roses Bouquet,Not Dark Pattern,0,0
 Learn More ,Not Dark Pattern,0,0
Free Shipping & Easy Returns always! ,Not Dark Pattern,0,0
Do you want a special deal?,Misdirection,1,1
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,Urgency,1,0
1 in Stock,Scarcity,1,0
Hot Offer. Limited Time,Urgency,1,0
 Yearly ,Not Dark Pattern,0,0
A t-shirt with a scallops V neck.,Not Dark Pattern,0,1
" Born for adventures across land, desert, and ice. Cruise over Tarmac-free roads or adapt it to be your 'do anything' commuter. ",Not Dark Pattern,0,0
"No Thanks, I'd Rather Pay Full Price",Misdirection,1,0
Fast Mover: 35 PEOPLE added this to cart today!,Social Proof,1,0
Sale Coats and Jackets,Not Dark Pattern,0,0
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Urgency,1,0
The cart will be gone in less than 5 minutes.,Urgency,1,1
Only 2 left!,Scarcity,1,0
History Of The NRA,Not Dark Pattern,0,0
"No thanks, free stuff is not for me.",Misdirection,1,1
"The site was easy to navigate. I haven't received my shoes yet, but overall a good experience.",Not Dark Pattern,0,0
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Social Proof,1,0
Hair Care Remedies,Not Dark Pattern,0,0
52 people have added this product to bag in the last 72 hours,Social Proof,1,0
 Microsoft Xbox One S Wireless Controller » ,Not Dark Pattern,0,0
 View In Your Room ,Not Dark Pattern,0,0
Baby Boy Jumpsuits and Rompers,Not Dark Pattern,0,0
I don't want deals.,Misdirection,1,1
Want to get a special deal?,Misdirection,1,1
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Social Proof,1,0
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Misdirection,1,0
Mallet E Speed Lace - Black/Silver,Not Dark Pattern,0,0
Color Block,Not Dark Pattern,0,0
 Sign In / Join ,Not Dark Pattern,0,0
Last purchased at 11:19am today.,Social Proof,1,0
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Urgency,1,0
"Roommates agreement... need i say more? this is a great poster for the walls of any house that has more than one person living in it. if you're alone, get it all the same - it'll make you laugh at any given time :)",Not Dark Pattern,0,0
Can we entice you before you check out?,Misdirection,1,1
Thermostats,Not Dark Pattern,0,0
Only 1 in stock,Scarcity,1,0
New Rifles,Not Dark Pattern,0,0
No thanks. I don't like free things...,Misdirection,1,0
You can get $200 off your mattress if you order in 13 minutes.,Urgency,1,1
Graphic T-Shirts,Not Dark Pattern,0,0
ONLY 3 LEFT,Scarcity,1,0
Terra - Medium Brown,Not Dark Pattern,0,0
Only 8 left in stock,Scarcity,1,0
Call It Spring,Not Dark Pattern,0,0
"Once a celebrated author of short stories now in his twilight years, ",Not Dark Pattern,0,0
There is a military discount.,Not Dark Pattern,0,1
Stan Smith is from adidas.,Not Dark Pattern,0,1
You can save 15% bySubscribe and Save.,Misdirection,1,1
There are Kinky Curly Wigs.,Not Dark Pattern,0,1
"Your cart is eligible for an additional 10% off, including current promotions, sale and clearance.",Urgency,1,1
Better results can be achieved by adding an accessory.,Misdirection,1,1
I don't want to miss out.,Misdirection,1,1
 Year of Ours ,Not Dark Pattern,0,0
JFN Scallop V Neck Solid Casual T-Shirt/Tee,Not Dark Pattern,0,0
Ericdress Summer Patchwork Polyester Long Women's Tank Top,Not Dark Pattern,0,0
"No thanks, I prefer to pay more for shoes!",Misdirection,1,0
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Social Proof,1,0
Glow Gear,Not Dark Pattern,0,0
The homepage uses cookies.,Not Dark Pattern,0,1
"50% off everything, plus $5.99 shipping, ends in 12h 13m 56s.",Urgency,1,1
jennifer just bought a healing heart,Social Proof,1,1
The sale ends in 10 seconds.,Urgency,1,1
Only 69 left!,Scarcity,1,0
LOW IN STOCK!! GET YOURS NOW,Scarcity,1,0
HURRY! £32.99 UK DELIVERY ENDS SOON,Urgency,1,0
The husband said the bell bottom pants were fun to dance in.,Not Dark Pattern,0,1
5 in stock,Scarcity,1,0
1 left in stock,Scarcity,1,0
"Easy, awesome! ready to go. Held a charge first night",Not Dark Pattern,0,0
 Champagne Taittinger ,Not Dark Pattern,0,0
251 people are viewing this right now,Social Proof,1,0
 C.P. Company ,Not Dark Pattern,0,0
All Scrapbooking Supplies,Not Dark Pattern,0,0
only 5 left in stock!,Scarcity,1,0
2day 13:49:51 Left,Urgency,1,0
There is a view in your room.,Not Dark Pattern,0,1
Memory Cards,Not Dark Pattern,0,0
Grey Jewelry,Not Dark Pattern,0,0
Hair Color + Highlights,Not Dark Pattern,0,0
"No thanks, I don't like good deals.",Misdirection,1,0
Lace Front African American Wigs,Not Dark Pattern,0,0
"[NO THANKS, I'LL JUST WALK]",Misdirection,1,0
(only 5 left),Scarcity,1,0
 Digital Device Covers ,Not Dark Pattern,0,0
You can save as much as 49%.,Misdirection,1,1
Please add products so we can see your site in action.,Not Dark Pattern,0,1
"Yes, I Want To Save Money!No Thanks",Misdirection,1,0
You have qualified for a Checkout Bonus.,Misdirection,1,1
"No thanks, I don't like getting free stuff.",Misdirection,1,0
Institute for Legislative Action,Not Dark Pattern,0,0
 Midleton Very Rare ,Not Dark Pattern,0,0
Surgical & Face Masks,Not Dark Pattern,0,0
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Social Proof,1,0
HOW TO MANAGE SIDE EFFECTS,Not Dark Pattern,0,0
"Someone in Chambersburg, Pennsylvania purchased",Social Proof,1,0
"Don't miss out, only 2 left in stock",Scarcity,1,0
The bicycle tells a story.,Not Dark Pattern,0,1
Italy's currency is the euro.,Not Dark Pattern,0,1
ADD FOR BETTER RESULTS,Misdirection,1,0
AdjustableSnapbacksSale Items- View All -,Not Dark Pattern,0,0
The sale should be set into the summer.,Not Dark Pattern,0,1
. ,Not Dark Pattern,0,0
Weight Management Shakes help control appetite and cut calories.,Not Dark Pattern,0,1
How about one of these hot sellers?,Misdirection,1,0
Complete your purchase within the next 12:18 minutes and receive 10% off,Urgency,1,0
I don't like discounts,Misdirection,1,0
Someone purchased a shirt.,Social Proof,1,1
Only 2 copies left,Scarcity,1,0
 Stone Cold Steve Austin ,Not Dark Pattern,0,0
Hurry Up! Only 1 Piece Left,Scarcity,1,0
STAY IN THE LOOP!,Not Dark Pattern,0,0
"Hurry, limited quantities left!",Scarcity,1,0
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Not Dark Pattern,0,0
Shirts & Blouses,Not Dark Pattern,0,0
+ Performance Cookies,Not Dark Pattern,0,0
 Also notify me about New Arrivals! ,Not Dark Pattern,0,0
The shopping cart is empty.,Not Dark Pattern,0,1
"For instance, we use cookies that allow us to remember information provided by the users from a page to another, choices made by users and information provided by users (name, language preference, country of residence...)",Not Dark Pattern,0,1
Your order is reserved for 09:54 minutes!,Urgency,1,0
"No thanks, I'd rather pay full price.",Misdirection,1,0
Hurry! Only 15 left!,Scarcity,1,0
Viewed 744 times today,Social Proof,1,0
"In stock, only 1 products left",Scarcity,1,0
Your purchase entitles you to a special.,Misdirection,1,1
Strength training.,Not Dark Pattern,0,1
There are festive lights indoors.,Not Dark Pattern,0,1
10% off sitewide is your one-time offer.,Urgency,1,1
I would pay full price.,Misdirection,1,1
9 sold in last 4 hours,Social Proof,1,0
Hurry! Only 9 left in stock.,Scarcity,1,0
Our best salesperson.,Misdirection,1,1
LESS THAN 5 LEFT!,Scarcity,1,0
Clarity Remotes,Not Dark Pattern,0,0
3 left in stock,Scarcity,1,0
Prices are subject to change without notice.,Not Dark Pattern,0,1
High Gable Sheds,Not Dark Pattern,0,0
There is a new kit sale.,Not Dark Pattern,0,1
Free shipping to select counties on orders over $100 is only available for a limited time.,Urgency,1,1
"No thanks, I will not be buying this amazing deal.",Misdirection,1,1
Soft Flexible (Classic) ,Not Dark Pattern,0,0
I have too much Glock stuff.,Misdirection,1,1
 Printed Long Sleeves Casual Blouse For Women ,Not Dark Pattern,0,0
"NO THANKS, I DON'T LIKE FREE STUFF",Misdirection,1,0
There are clocks.,Not Dark Pattern,0,1
 Subscribe ,Not Dark Pattern,0,0
Favored By: 400 people!,Social Proof,1,0
"Don't worry, we have your back.",Not Dark Pattern,0,1
Hurry! Only a few of these left,Scarcity,1,0
There are footwear accessories.,Not Dark Pattern,0,1
Limited Time Remaining!,Urgency,1,0
A person in New Lynn bought a Kogan A1 Earphones with Inline Control.,Social Proof,1,1
No thanks - I don't want to save money,Misdirection,1,0
 shop by trend ,Not Dark Pattern,0,0
"No thanks, I don't like FREE stuff.",Misdirection,1,0
Last Shape Guide,Not Dark Pattern,0,0
SHOP TRIATHLON,Not Dark Pattern,0,0
HURRY! ONLY 58 LEFT IN STOCK!,Scarcity,1,0
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Urgency,1,0
 Data Processor: Amobee ,Not Dark Pattern,0,0
I don't like good deals.,Misdirection,1,1
Hurry Up ! Just 2 Items Left in stock,Scarcity,1,0
Only 1 left in stock! Get in quick!,Scarcity,1,0
We use cookies to give you the best experience possible.,Not Dark Pattern,0,1
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Social Proof,1,0
Are you looking for your order history?,Not Dark Pattern,0,1
Recent Searches,Not Dark Pattern,0,0
Skin Concerns,Not Dark Pattern,0,0
There are Scarves and Snoods.,Not Dark Pattern,0,1
"Hurry, Only a few left!",Scarcity,1,0
The patch system has been changed.,Not Dark Pattern,0,1
156 sold in last 24 hours,Social Proof,1,0
Only 14 left in stock,Scarcity,1,0
 Data Processor Privacy Policy: https://www.appnexus.com/corporate-privacy-policy ,Not Dark Pattern,0,0
 Shop All NFL ,Not Dark Pattern,0,0
80 customers are considering this product.,Social Proof,1,1
Your order is reserved for 09:58 minutes!,Urgency,1,0
Functional Cookies,Not Dark Pattern,0,0
FLASH 19:15:22,Urgency,1,0
This chart should be used as a guide only. Due to each manufacturer’s size scale inconsistencies may occur.,Not Dark Pattern,0,0
The time is 00:15:07:45.,Urgency,1,1
Only 34 Left!,Scarcity,1,0
Delivery & Returns,Not Dark Pattern,0,0
Selling Fast,Scarcity,1,0
HURRY! ONLY 1 IN STOCK!,Scarcity,1,0
17 people have added this item to cart,Social Proof,1,0
I'm not interested.,Misdirection,1,1
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,Not Dark Pattern,0,0
The Icing Pen decorating tool was bought by Debby in the United States.,Social Proof,1,1
Beetle Remotes,Not Dark Pattern,0,0
Dressmakers Mannequins ,Not Dark Pattern,0,0
selected language日本語currencyJPY,Not Dark Pattern,0,0
"No thanks, I don't like savings",Misdirection,1,0
Your order is reserved for 09:14 minutes!,Urgency,1,0
HURRY! YOUR 10% OFF EXPIRES IN 29:43,Urgency,1,0
Ladies floral print dress.,Not Dark Pattern,0,1
" Sorry, we could not process your request at the moment. Please try again in a few minutes. ",Not Dark Pattern,0,0
111 people have purchased this item,Social Proof,1,0
There are Christmas craft ideas.,Not Dark Pattern,0,1
Please note: we do not ship to PO Boxes,Not Dark Pattern,0,0
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Social Proof,1,0
View all,Not Dark Pattern,0,0
The dresses are short.,Not Dark Pattern,0,1
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,Urgency,1,0
Just BEE Queen,Not Dark Pattern,0,0
Shop all,Not Dark Pattern,0,0
12 recently purchased it.,Social Proof,1,0
00:15:07:45,Urgency,1,0
I have a strong liking to walnut. Even the sapwood can look very presentable when finished good. Thus cutting board is a great item for use and conversation and looks good. ,Not Dark Pattern,0,0
You can get 15% off your entire order with your cart qualifications.,Urgency,1,1
beautifully written prose,Not Dark Pattern,0,0
Only 1 left in stock! Order soon!,Scarcity,1,0
Daystate FAC Air Rifles,Not Dark Pattern,0,0
I'll just pay the full price.,Misdirection,1,1
Wish Your Loved Ones Instantly with Ferns N Petals International Services,Not Dark Pattern,0,0
You can be confident that your new box is helping you celebrate and protect your unborn child.,Not Dark Pattern,0,1
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Urgency,1,0
Only 15 left in stock,Scarcity,1,0
Reloading and firearms.,Not Dark Pattern,0,1
77 PEOPLE LIKE THIS,Social Proof,1,0
Did you know that Shaver heads need to be replaced every 18 months?,Misdirection,1,1
2 in stock,Scarcity,1,0
ONLY 1 LEFT! GET IT NOW!,Scarcity,1,0
"No thanks, I want to pay the full price.",Misdirection,1,0
Over 238 people have bought this product,Social Proof,1,0
The deal ends at 25 minutes 22 seconds.,Urgency,1,1
Browse by A-Z,Not Dark Pattern,0,0
Art & Crafting Tools,Not Dark Pattern,0,0
"If you add to cart now, this offer is valid.",Misdirection,1,1
Don't miss out! We've sold 38 in the last few days.,Social Proof,1,0
only 5 left,Scarcity,1,0
"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",Social Proof,1,0
TV and home appliances.,Not Dark Pattern,0,1
There is only one product left!,Scarcity,1,0
I absolutely loved it! It made everyone laugh and my desk gets an obscene amount of compliments for it. The quality is superb! I am now definitely going to be a loyal shopper at PosterGully,Not Dark Pattern,0,0
Highline Double Wheel Bag,Not Dark Pattern,0,0
Watches and accessories.,Not Dark Pattern,0,1
Order in 13:16 to get $200 off your mattress,Urgency,1,0
Purchased 100+ times in the last few days.,Social Proof,1,0
South from Korea.,Not Dark Pattern,0,1
Shop Dresses by Occasion,Not Dark Pattern,0,0
only 2 left,Scarcity,1,0
Free climate compensated shipping & returns,Not Dark Pattern,0,0
Today's sale ends at 1:01pm.,Urgency,1,1
The newsletter has a privacy policy.,Not Dark Pattern,0,1
There are partnerships.,Not Dark Pattern,0,1
 All Licensed ,Not Dark Pattern,0,0
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Social Proof,1,0
Great for keeping track of your pup while at work,Not Dark Pattern,0,0
 IZZY MIDI DRESS Ivory ,Not Dark Pattern,0,0
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Not Dark Pattern,0,0
Limited time offer.,Urgency,1,0
"Paper, Pads & Blocks are in the Toggle category.",Not Dark Pattern,0,1
Casual Sheath Chiffon Sequins Straps V-neck Sleeveless Bridesmaid Dress,Not Dark Pattern,0,0
Would you like to add one of these?,Misdirection,1,1
"Jumpers, Shirts & T-Shirts",Not Dark Pattern,0,0
Customer Feedback,Not Dark Pattern,0,0
Intercoms & Doorbells,Not Dark Pattern,0,0
"""Your purchase entitles you to the following special""",Misdirection,1,0
In other users' carts 59,Social Proof,1,0
Aids mental processing†,Not Dark Pattern,0,0
 Added to Favorites ,Not Dark Pattern,0,0
There is a sale of clothing.,Not Dark Pattern,0,1
Only 8 left in stock. Almost Gone!,Scarcity,1,0
You've been approved for a Checkout Bonus.,Misdirection,1,1
There are hair care sets.,Not Dark Pattern,0,1
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,Urgency,1,0
660 people have seen it.,Social Proof,1,1
Looks like your trail has ended.,Not Dark Pattern,0,1
Act now and save $12.99. Limited time only!,Urgency,1,0
There is a currency in the Cayman Islands.,Not Dark Pattern,0,1
NEED ADDITIONAL HELP?,Not Dark Pattern,0,0
 Shirts & Blouses ,Not Dark Pattern,0,0
Treat tossing is fun.,Not Dark Pattern,0,1
There are crop tops.,Not Dark Pattern,0,1
 Face Masks,Not Dark Pattern,0,0
67% offers claimed. Hurry up!,Scarcity,1,0
Items in your cart are in high demand.,Scarcity,1,0
The best-selling products.,Not Dark Pattern,0,1
Only 2 left in stock!,Scarcity,1,0
The item has been added to the cart by 218 people.,Social Proof,1,1
"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",Social Proof,1,0
Dog Whistles & Lanyards,Not Dark Pattern,0,0
Synthesis E-MTB Carbon Wheelset,Not Dark Pattern,0,0
New In Bottoms,Not Dark Pattern,0,0
Only 8 left,Scarcity,1,0
New In ,Not Dark Pattern,0,0
3642 BOUGHT,Social Proof,1,0
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Urgency,1,0
View All Bearings,Not Dark Pattern,0,0
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,Urgency,1,0
The prices shown are for delivery to Japan.,Not Dark Pattern,0,1
The deal ends in 40 minutes.,Urgency,1,1
