String,Type,label,predicate
Estimated VAT overview,Not Dark Pattern,0,None
1 item left,Scarcity,1,Low-stock Messages
This item is in high demand.,Scarcity,1,High-demand Messages
All Girls Clothing,Not Dark Pattern,0,None
 help@postergully.com,Not Dark Pattern,0,None
In other users' carts 59,Social Proof,1,Activity Notifications
"SALE ENDS IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",Urgency,1,Countdown Timers
How Do I Rinse Off My Overnight Hair Oil Treatment?,Not Dark Pattern,0,None
Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,Urgency,1,Countdown Timers
Only 3 items left,Scarcity,1,Low-stock Messages
3 left in stock,Scarcity,1,Low-stock Messages
Your order is reserved for 09:45 minutes!,Urgency,1,Countdown Timers
"You choose: just one box, or a  Madison Reed Membership?",Misdirection,1,Trick Questions
What is a cookie?,Not Dark Pattern,0,None
ON SALE AT $1.99 FOR A LIMITED TIME,Urgency,1,Limited-time Messages
Stay Connected,Not Dark Pattern,0,None
 newsletter signup (privacy policy) ,Not Dark Pattern,0,None
 Zero Gravity Lift Chairs ,Not Dark Pattern,0,None
Wallets ,Not Dark Pattern,0,None
"No thanks, I don't want to look my best",Misdirection,1,Confirmshaming
Pick the price that matches your budget. ,Not Dark Pattern,0,None
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",Social Proof,1,Activity Notifications
Specs,Not Dark Pattern,0,None
 Shop Sale by Print ,Not Dark Pattern,0,None
Log in / Create an account,Not Dark Pattern,0,None
Your cart is reserved for 14:57 minutes.,Urgency,1,Countdown Timers
Brandon Blackwood,Not Dark Pattern,0,None
Someone from Airdrie & 10820 others bought this item recently.,Social Proof,1,Activity Notifications
10 SEATS LEFT,Scarcity,1,Low-stock Messages
There are only 1 item left in stock.,Scarcity,1,Low-stock Messages
"Nah, I like paying full price",Misdirection,1,Confirmshaming
 Naked Wolfe ,Not Dark Pattern,0,None
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Social Proof,1,Activity Notifications
Only: 9 in stock now,Scarcity,1,Low-stock Messages
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,Urgency,1,Countdown Timers
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,Social Proof,1,Activity Notifications
Only 1 products left,Scarcity,1,Low-stock Messages
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Social Proof,1,Activity Notifications
In Stock (8) Left,Scarcity,1,Low-stock Messages
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",Misdirection,1,Trick Questions
 Added to Favorites ,Not Dark Pattern,0,None
"William in Pago Pago, United States purchased a",Social Proof,1,Activity Notifications
"No, thanks. I don't like great deals.",Misdirection,1,Confirmshaming
Hurry !! Only 52 left in stock,Scarcity,1,Low-stock Messages
"No, I don't feel lucky",Misdirection,1,Confirmshaming
High-Waisted Shorts,Not Dark Pattern,0,None
ONLY 5 LEFT!,Scarcity,1,Low-stock Messages
Only 82 left in stock!,Scarcity,1,Low-stock Messages
Someone in United States just purchased a,Social Proof,1,Activity Notifications
Today's sale ends in: 00hours:57min:19sec,Urgency,1,Countdown Timers
60% OFF ENDS IN DAYS HOURS MINUTES SECONDS,Urgency,1,Countdown Timers
72 Viewing This Product,Social Proof,1,Activity Notifications
 Sale By Category ,Not Dark Pattern,0,None
All You™,Not Dark Pattern,0,None
Only 2 left.,Scarcity,1,Low-stock Messages
Your order is reserved for 19:57 minutes.,Urgency,1,Countdown Timers
 Low Price Guarantee ,Not Dark Pattern,0,None
LAST 1 LEFT,Scarcity,1,Low-stock Messages
Shop All Vape Kits,Not Dark Pattern,0,None
You can either livechat or email our support team with any questions or concerns. We are always ready to help. ,Not Dark Pattern,0,None
ONLY 1 LEFT IN STOCK,Scarcity,1,Low-stock Messages
View your order history,Not Dark Pattern,0,None
Ends Sunday! $200 off any mattress . free shipping & free returns!,Urgency,1,Limited-time Messages
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,1,Limited-time Messages
ONLY 2 LEFT,Scarcity,1,Low-stock Messages
 Indoor Festive Lights ,Not Dark Pattern,0,None
Your cart is reserved for 09:35 minutes.,Urgency,1,Countdown Timers
I don't want a discount,Misdirection,1,Confirmshaming
ONLY 1 LEFT IN STOCK!,Scarcity,1,Low-stock Messages
All Little Boys Clothing,Not Dark Pattern,0,None
"No, I'd rather do it the hard way...",Misdirection,1,Confirmshaming
1 left at this price,Scarcity,1,Low-stock Messages
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Urgency,1,Limited-time Messages
"Metal - Brass , hollow from inside ",Not Dark Pattern,0,None
LOW STOCK (ONLY 10 LEFT!),Scarcity,1,Low-stock Messages
Romper Swimwear,Not Dark Pattern,0,None
Lease to Own conditions,Not Dark Pattern,0,None
Offer ends in 03 days 19 hours : 54 mins : 22 secs,Urgency,1,Countdown Timers
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,Urgency,1,Countdown Timers
NO THANKS,Misdirection,1,Confirmshaming
 Electric Daisy ,Not Dark Pattern,0,None
"50% OFF Everything (yep, even sale) + $5.99 Shipping* ENDS IN 12h 13m 56s",Urgency,1,Countdown Timers
"NO THANKS, I DON'T WANT TO SAVE MONEY",Misdirection,1,Confirmshaming
Your order is prioritized for 13:22 minutes!,Urgency,1,Countdown Timers
HURRY! ONLY 11 LEFT IN STOCK.,Scarcity,1,Low-stock Messages
"No, I don't feel lucky",Misdirection,1,Confirmshaming
"No, I don't feel lucky",Misdirection,1,Confirmshaming
"No thanks, I'll just pay full price.",Misdirection,1,Confirmshaming
Choose your payment day. View your schedule and select pay now.,Not Dark Pattern,0,None
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Urgency,1,Limited-time Messages
 New In Lunch Boxes ,Not Dark Pattern,0,None
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",Social Proof,1,Activity Notifications
"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",Social Proof,1,Activity Notifications
25% OFF SELECTED JACKETS Limited Time,Urgency,1,Limited-time Messages
Shipping and Duties,Not Dark Pattern,0,None
"No thanks, I’d rather not win.",Misdirection,1,Confirmshaming
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Urgency,1,Limited-time Messages
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Social Proof,1,Activity Notifications
"No thanks, I’d rather not win.",Misdirection,1,Confirmshaming
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Social Proof,1,Activity Notifications
 Cosmic Rainbow ,Not Dark Pattern,0,None
"No thanks, I don't like deals.",Misdirection,1,Confirmshaming
Only 3 left,Scarcity,1,Low-stock Messages
"No thanks, I'll pay full price!",Misdirection,1,Confirmshaming
Graphic Tanks,Not Dark Pattern,0,None
How Do Our Crystals Looks in Real Life?,Not Dark Pattern,0,None
I Don't Like to Save Money,Misdirection,1,Confirmshaming
"No thanks, I’d rather pay full price.",Misdirection,1,Confirmshaming
Only 2 left,Scarcity,1,Low-stock Messages
 GeekVape Pursue a Healthy Vaping Experience ,Not Dark Pattern,0,None
Only 1 left,Scarcity,1,Low-stock Messages
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Urgency,1,Limited-time Messages
Delivery & support,Not Dark Pattern,0,None
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Urgency,1,Limited-time Messages
only 5 left in stock!,Scarcity,1,Low-stock Messages
Purchased 8 times in the last few days.,Social Proof,1,Activity Notifications
1626 people seeing this product right now,Social Proof,1,Activity Notifications
"No Thanks, I Don't Want a Discount",Misdirection,1,Confirmshaming
"No thanks, I don't like saving money",Misdirection,1,Confirmshaming
"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",Social Proof,1,Activity Notifications
11 people viewed this today!,Social Proof,1,Activity Notifications
"In stock, only 1 products left",Scarcity,1,Low-stock Messages
166 people have added this item to cart,Social Proof,1,Activity Notifications
Your order will be reserved for 6:56 minutes.,Urgency,1,Countdown Timers
" Sorry, we could not process your request at the moment. Please try again in a few minutes. ",Not Dark Pattern,0,None
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,Urgency,1,Limited-time Messages
"Howdy stranger, looks like your trail has hit a dead end.",Not Dark Pattern,0,None
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,1,Low-stock Messages
No thanks! I don't like deals,Misdirection,1,Confirmshaming
SAVE $300.00\nfor limited time,Urgency,1,Limited-time Messages
about us,Not Dark Pattern,0,None
ADD WORLD'S MOST COMFORTABLE CHAIRS,Misdirection,1,Pressured Selling
 New in ,Not Dark Pattern,0,None
8 people have viewed this product today!,Social Proof,1,Activity Notifications
ONLY 5 LEFT,Scarcity,1,Low-stock Messages
Low In Stock Today,Scarcity,1,Low-stock Messages
 IZZY MIDI DRESS Ivory ,Not Dark Pattern,0,None
Save $148.98AUD – 49% Off,Misdirection,1,Pressured Selling
Brand: Ray-Ban® | Similar products from Ray-Ban®,Not Dark Pattern,0,None
3 Left!,Scarcity,1,Low-stock Messages
Only a few more left!,Scarcity,1,Low-stock Messages
"No thanks, I dont want a discount",Misdirection,1,Confirmshaming
Only 34 Left!,Scarcity,1,Low-stock Messages
"No thank you, I prefer to pay for shipping.",Misdirection,1,Confirmshaming
 School Shoes,Not Dark Pattern,0,None
FREE SHIPPING FOR A year | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Urgency,1,Limited-time Messages
Only 4 left,Scarcity,1,Low-stock Messages
Your order has been reserved for,Urgency,1,Limited-time Messages
Only a few left of this product!,Scarcity,1,Low-stock Messages
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Urgency,1,Limited-time Messages
"No, I don't feel lucky",Misdirection,1,Confirmshaming
Select your size below and we'll email you if it comes back in stock!,Not Dark Pattern,0,None
Speak with our customer-care executive who will help you with your buying.,Not Dark Pattern,0,None
"No thanks, I don't want to save up to 75%",Misdirection,1,Confirmshaming
"Hurry, limited quantities left!",Scarcity,1,Low-stock Messages
Feedback,Not Dark Pattern,0,None
Selling Fast,Scarcity,1,High-demand Messages
View All Bearings,Not Dark Pattern,0,None
Brown Dresses,Not Dark Pattern,0,None
Only 1 Left!,Scarcity,1,Low-stock Messages
3 left in stock,Scarcity,1,Low-stock Messages
Only 1 left,Scarcity,1,Low-stock Messages
45 ADDED TO BAG IN THE PAST 24 HOURS,Social Proof,1,Activity Notifications
Strip Softbox,Not Dark Pattern,0,None
Use the left and right arrow keys to navigate the Menu. Use the enter key to activate the submenu on a navigation item. Use escape key to close the submenu. ,Not Dark Pattern,0,None
Limited stock Only 2 left,Scarcity,1,Low-stock Messages
 View All Mattress Accessories ,Not Dark Pattern,0,None
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Social Proof,1,Activity Notifications
Get it fast! 14 added to bag today,Social Proof,1,Activity Notifications
"No thanks, I've got too much cool Glock stuff.",Misdirection,1,Confirmshaming
Hurry! This special sale ends in 2h 42m 0s,Urgency,1,Countdown Timers
Tribeca Remotes,Not Dark Pattern,0,None
 How to Recycle ,Not Dark Pattern,0,None
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Social Proof,1,Activity Notifications
LIMITED TIME LEFT! 00 : 46 : 11,Urgency,1,Countdown Timers
Cellular/Honeycomb Shades,Not Dark Pattern,0,None
Save $148.98AUD – 49% Off,Misdirection,1,Pressured Selling
"No Thanks, I don't want a discount",Misdirection,1,Confirmshaming
Massive Tax Time Sale See Discounts! Sale ends in,Urgency,1,Limited-time Messages
Shop by Health Goals,Not Dark Pattern,0,None
Warm Tips,Not Dark Pattern,0,None
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing ,Urgency,1,Countdown Timers
Hurry! Almost Sold Out...,Scarcity,1,Low-stock Messages
ONLY 3 LEFT IN STOCK.,Scarcity,1,Low-stock Messages
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Misdirection,1,Confirmshaming
This chart should be used as a guide only. Due to each manufacturer’s size scale inconsistencies may occur.,Not Dark Pattern,0,None
Loading,Not Dark Pattern,0,None
Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,Social Proof,1,Activity Notifications
I WANT TO PAY MORE LATER ;),Misdirection,1,Trick Questions
"No Thanks, I don't like free stuff.",Misdirection,1,Confirmshaming
How to cast on,Not Dark Pattern,0,None
2 customers recently bought it,Social Proof,1,Activity Notifications
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Not Dark Pattern,0,None
Build your own powerful multi-vendor marketplace website,Not Dark Pattern,0,None
Free Shipping On Orders Over $49* - Limited Time Only,Urgency,1,Limited-time Messages
LIMITED OFFER: $125 Off + 2 Free Pillows,Urgency,1,Limited-time Messages
"No thanks, I don't want any deals",Misdirection,1,Confirmshaming
Be the first to get updates as well as access to exclusive offers and promotions,Not Dark Pattern,0,None
69 people are viewing this,Social Proof,1,Activity Notifications
1 other customers have this item in their shopping cart,Social Proof,1,Activity Notifications
Want a special deal? Bundle and SAVE UPTO30%,Misdirection,1,Pressured Selling
 Shop All Lehenga Choli ,Not Dark Pattern,0,None
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Social Proof,1,Activity Notifications
17 people have viewed this wine today,Social Proof,1,Activity Notifications
Compare at,Misdirection,1,Trick Questions
Compare Products ,Not Dark Pattern,0,None
 Food ,Not Dark Pattern,0,None
"no thanks, I don't like to save",Misdirection,1,Confirmshaming
Strong demand! Complete your order before it's too late!,Scarcity,1,High-demand Messages
" is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *",Not Dark Pattern,0,None
Soft Flexible (Classic) ,Not Dark Pattern,0,None
"I DON'T LIKE FREE GIFTS, NO THANKS",Misdirection,1,Confirmshaming
"No Thanks, I Don't Like Exclusive Offers.",Misdirection,1,Confirmshaming
Want a special deal? Bundle and SAVE UPTO30%,Misdirection,1,Pressured Selling
Your cart is reserved for 14:05 minutes!,Urgency,1,Countdown Timers
Last Shape Guide,Not Dark Pattern,0,None
 Plastic ,Not Dark Pattern,0,None
Warne Mounts,Not Dark Pattern,0,None
Q: Will this damage my hair?,Not Dark Pattern,0,None
13 people have added this to their cart,Social Proof,1,Activity Notifications
Only 1 left in stock! Get in quick!,Scarcity,1,Low-stock Messages
"ONLY 5 LEFT, HURRY!",Scarcity,1,Low-stock Messages
My Story,Not Dark Pattern,0,None
" Mystic Topaz: Rings, Earrings, Necklaces and Bracelets ",Not Dark Pattern,0,None
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Social Proof,1,Activity Notifications
"Now 20% off, hurry limited time offer!",Urgency,1,Limited-time Messages
More Info,Not Dark Pattern,0,None
About Ruth Hogan,Not Dark Pattern,0,None
現代奴隷法に対する透明性に関する声明 (opens in a new tab),Not Dark Pattern,0,None
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency,1,Countdown Timers
"""Your purchase entitles you to the following special""",Misdirection,1,Pressured Selling
Only 1 left in stock,Scarcity,1,Low-stock Messages
Crystal Lotus Sriyantras ,Not Dark Pattern,0,None
 Use a clean vase and clean water.,Not Dark Pattern,0,None
shut up! Sale Ends in,Urgency,1,Limited-time Messages
 Printed Long Sleeves Casual Blouse For Women ,Not Dark Pattern,0,None
Only 1 Left in this Size!,Scarcity,1,Low-stock Messages
Order without free membership $69.95,Misdirection,1,Pressured Selling
"Hurry, only a few left!",Scarcity,1,Low-stock Messages
Father's Day Gifts,Not Dark Pattern,0,None
DEAL ENDS IN 40:55:13,Urgency,1,Countdown Timers
"No, I don't feel lucky",Misdirection,1,Confirmshaming
Diamond Nose Studs,Not Dark Pattern,0,None
"NO THANKS, I DON'T WANT TO SAVE",Misdirection,1,Confirmshaming
 PHX Mercury ,Not Dark Pattern,0,None
Women's Acid Wash Scoopneck Sweater,Not Dark Pattern,0,None
Wait! Take 10% off Your First Order Deal Expires Soon!,Urgency,1,Limited-time Messages
I don't want to save money,Misdirection,1,Confirmshaming
2 people are viewing this,Social Proof,1,Activity Notifications
LIMITED TIME OFFER!,Urgency,1,Limited-time Messages
Hurry up! Sale Ends in,Urgency,1,Countdown Timers
I already have this item. Do not add this to cart,Misdirection,1,Trick Questions
Wyse Thin Client,Not Dark Pattern,0,None
Romantic Ball Gown Tulle Spaghetti Sleeveless Tier Flower Dirl Dress,Not Dark Pattern,0,None
 Books About Indian Culture ,Not Dark Pattern,0,None
Other people want this. 10 people have this in their cart right now.,Social Proof,1,Activity Notifications
LIMITED TIME OFFER : Grab a Matching Pair & save up 60%.,Misdirection,1,Pressured Selling
 Intercoastal Performance Pant - True Navy ,Not Dark Pattern,0,None
Get it fast! 14 added to bag today,Social Proof,1,Activity Notifications
 Nursery ,Not Dark Pattern,0,None
Sale Ends in 5 days 14 hours 42 mins 53 sec,Urgency,1,Countdown Timers
Hurry! Sale ends in:,Urgency,1,Countdown Timers
Sale ends soon,Urgency,1,Limited-time Messages
1 left in stock,Scarcity,1,Low-stock Messages
 Brand case & cloth included ,Not Dark Pattern,0,None
"No, I'll rather pay full price.",Misdirection,1,Confirmshaming
1 people bought Jotter To Do Refill in the last few hours,Social Proof,1,Activity Notifications
__________,Not Dark Pattern,0,None
117 people have viewed this item in the last 7 days.,Social Proof,1,Activity Notifications
Only 1 left in online stock,Scarcity,1,Low-stock Messages
I'LL PAY FULL PRICE,Misdirection,1,Confirmshaming
Musical Toys,Not Dark Pattern,0,None
All Womens Accessories,Not Dark Pattern,0,None
"Order now, only 2 left in stock!",Scarcity,1,Low-stock Messages
Your order is prioritized for 13:22 minutes.,Urgency,1,Countdown Timers
"No thanks, I'll still want to pay full price",Misdirection,1,Confirmshaming
Victoria Victoria Beckham,Not Dark Pattern,0,None
FAMILY SHADE PACK | PICK YOUR PACK,Not Dark Pattern,0,None
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,Urgency,1,Countdown Timers
Occasion: Anniversary,Not Dark Pattern,0,None
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,Not Dark Pattern,0,None
Order in 14:53 to get 2 pillows for free,Urgency,1,Countdown Timers
 A-Z Luxury Brands ,Not Dark Pattern,0,None
In other users' carts 59,Social Proof,1,Activity Notifications
Swedish Hasbeens,Not Dark Pattern,0,None
STOCK IS GUARANTEED FOR 60 MINUTES,Urgency,1,Countdown Timers
"No thanks, I want to pay the full price.",Misdirection,1,Confirmshaming
"No, thank you. I prefer to pay the full price",Misdirection,1,Confirmshaming
 Accessibility statement ,Not Dark Pattern,0,None
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",Social Proof,1,Activity Notifications
 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,Not Dark Pattern,0,None
ONLY 1 LEFT! GET IT NOW!,Scarcity,1,Low-stock Messages
Professional Color Tool Kit / Addons,Misdirection,1,Pressured Selling
Your order is reserved for 08:53 minutes.,Urgency,1,Countdown Timers
"No thanks, I prefer to pay full price.",Misdirection,1,Confirmshaming
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. online only! Restrictions apply. Online Only.,Urgency,1,Limited-time Messages
Your order is reserved for 09:35 minutes!,Urgency,1,Countdown Timers
 Our Carbon Footprint ,Not Dark Pattern,0,None
 Don't leave without taking discount ,Not Dark Pattern,0,None
 Personalised Gifts ,Not Dark Pattern,0,None
Checkout within 04:10 so we don't run out of stock!,Urgency,1,Countdown Timers
" Synthetic nicotine | Strawberry, kiwi & pomegranate ",Not Dark Pattern,0,None
Only 4 left at this price,Scarcity,1,Low-stock Messages
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Social Proof,1,Activity Notifications
"No thanks, I don’t like fun and games.",Misdirection,1,Confirmshaming
2 people are looking right now,Social Proof,1,Activity Notifications
I don't feel lucky,Misdirection,1,Trick Questions
 Chargers ,Not Dark Pattern,0,None
"No thanks, I don't like good deals.",Misdirection,1,Confirmshaming
 Black / White Refine by Color: Black / White ,Not Dark Pattern,0,None
 Cayman Islands USD,Not Dark Pattern,0,None
"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",Social Proof,1,Activity Notifications
 Bob Ross Oil Brushes ,Not Dark Pattern,0,None
Pre-order 3 left,Scarcity,1,Low-stock Messages
"Jumpers, Shirts & T-Shirts",Not Dark Pattern,0,None
"For instance, we use cookies allowing us to remember information provided by the users from a page to another, choices made by users and information provided by users (name, language preference, country of residence…). In particular, we use the following functional cookies: ",Not Dark Pattern,0,None
2 DAYS 13:06:13,Urgency,1,Countdown Timers
"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",Social Proof,1,Activity Notifications
Your order is reserved for 09:57 minutes!,Urgency,1,Countdown Timers
"No thanks, I don't like discounts",Misdirection,1,Confirmshaming
02:06:40 left to buy,Urgency,1,Countdown Timers
Elegant A Line Short Sleeve Satin Bateau Floor-length Mother of the Bride Dress with Ribbon,Not Dark Pattern,0,None
"No, thanks. I'd rather pay full price.",Misdirection,1,Confirmshaming
if Only! 20% Off,Urgency,1,Limited-time Messages
Viewed 1040 times in the last 7 days,Social Proof,1,Activity Notifications
"Hurry, only 1 left!",Scarcity,1,Low-stock Messages
"No thanks, I don't like free stuff",Misdirection,1,Confirmshaming
$132.90 $99.00,Misdirection,1,Pressured Selling
Only 9 left in stock,Scarcity,1,Low-stock Messages
715 people have added this item to cart,Social Proof,1,Activity Notifications
Competitions,Not Dark Pattern,0,None
Stone Island Junior,Not Dark Pattern,0,None
Items in your cart are selling fast,Scarcity,1,High-demand Messages
1 Left,Scarcity,1,Low-stock Messages
Product Info,Not Dark Pattern,0,None
Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,Social Proof,1,Activity Notifications
Only 1 left,Scarcity,1,Low-stock Messages
"NO THANKS, I'D RATHER PAY FULL PRICE",Misdirection,1,Confirmshaming
Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,Social Proof,1,Activity Notifications
273 units sold in the last 30 days,Social Proof,1,Activity Notifications
20 units left,Scarcity,1,Low-stock Messages
"No thanks, I'll still want to pay full price",Misdirection,1,Confirmshaming
STOCK IS GUARANTEED FOR 60 MINUTES,Urgency,1,Countdown Timers
Optics and Mounts,Not Dark Pattern,0,None
"No thanks, I don’t like saving money.",Misdirection,1,Confirmshaming
Flat Iron,Not Dark Pattern,0,None
ONLY 9 LEFT,Scarcity,1,Low-stock Messages
1044 sold in past 12 months,Social Proof,1,Activity Notifications
Boxster Remotes,Not Dark Pattern,0,None
[new-troh-pick],Not Dark Pattern,0,None
Your order is reserved for 09:45 minutes!,Urgency,1,Countdown Timers
Selling fast!,Scarcity,1,High-demand Messages
🔥 2 people are looking right now,Social Proof,1,Activity Notifications
FOR A LIMITED TIME ONLY,Urgency,1,Limited-time Messages
Only 11 Left In Stock,Scarcity,1,Low-stock Messages
00DAYS02HRS14MINS1211SEC,Urgency,1,Countdown Timers
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Urgency,1,Countdown Timers
New Rifles,Not Dark Pattern,0,None
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Social Proof,1,Activity Notifications
92 customers bought this in the last 48 hours,Social Proof,1,Activity Notifications
"Tyler in Norwalk, United States purchased a",Social Proof,1,Activity Notifications
Only 3 left in stock,Scarcity,1,Low-stock Messages
Limited time offer,Urgency,1,Limited-time Messages
 Irwin ,Not Dark Pattern,0,None
Printed ,Not Dark Pattern,0,None
"No, I don't feel lucky",Misdirection,1,Confirmshaming
"N++ is all about using your momentum to complete levels and get high scores, but in this sci-fi world, there’s a slew of inadvertently homicidal enemy robots trying to prevent you from completing your goal.",Not Dark Pattern,0,None
4 people have purchased this item,Social Proof,1,Activity Notifications
MoTrail,Not Dark Pattern,0,None
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",Not Dark Pattern,0,None
Only 2 stock available,Scarcity,1,Low-stock Messages
6 people have looked at this in the last few hrs.,Social Proof,1,Activity Notifications
5 people are looking at this product right now,Social Proof,1,Activity Notifications
Performance Cookies,Not Dark Pattern,0,None
Days left until the offer ends: 00 Days 04:43:35,Urgency,1,Countdown Timers
"894 Claimed! Hurry, only a few left!",Scarcity,1,Low-stock Messages
"No thanks, I want to pay full price",Misdirection,1,Confirmshaming
"No Thanks, I Don't Want To Save",Misdirection,1,Confirmshaming
"Edwin in Woodland Park, NJ just bought",Social Proof,1,Activity Notifications
Items will be reserved in your cart for 19:10,Urgency,1,Countdown Timers
Recent Searches,Not Dark Pattern,0,None
"1,446 people have viewed this item",Social Proof,1,Activity Notifications
404 Orders,Social Proof,1,Activity Notifications
"No, thanks. I'd prefer not to save.",Misdirection,1,Confirmshaming
"No, I don't feel lucky.",Misdirection,1,Confirmshaming
Material: Made with Cordura fabric,Not Dark Pattern,0,None
"128 sold today! Hurry, only a few left!",Scarcity,1,Low-stock Messages
Great for keeping track of your pup while at work,Not Dark Pattern,0,None
Enter Catalog/Email Code,Not Dark Pattern,0,None
Accuscreens,Not Dark Pattern,0,None
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",Social Proof,1,Activity Notifications
eWriters & Graphics Tablets,Not Dark Pattern,0,None
I don't feel lucky,Misdirection,1,Trick Questions
THE SET INCLUDES:,Not Dark Pattern,0,None
Nectar,Not Dark Pattern,0,None
You left 2 items in your bag Released in: 29 minutes :07 seconds,Urgency,1,Countdown Timers
The product you requested is not available in the selected country,Not Dark Pattern,0,None
Read More ,Not Dark Pattern,0,None
Protect Your Gear,Misdirection,1,Pressured Selling
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Social Proof,1,Activity Notifications
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Not Dark Pattern,0,None
In Stock. Only 1 Left!,Scarcity,1,Low-stock Messages
"No, I don't feel lucky",Misdirection,1,Confirmshaming
21 people looked at this during the last 24 hours,Social Proof,1,Activity Notifications
"NO THANKS, I'D RATHER PAY FULL PRICE",Misdirection,1,Confirmshaming
ONLY 5 LEFT!,Scarcity,1,Low-stock Messages
Blankets Throws,Not Dark Pattern,0,None
Only 1 left in stock,Scarcity,1,Low-stock Messages
 V-neck Casual Loose Embroidered Short Sleeve Blouse ,Not Dark Pattern,0,None
 Italy € EUR ,Not Dark Pattern,0,None
111 people have purchased this item,Social Proof,1,Activity Notifications
SLEEP EVENT OFFERS - LIMITED TIME ONLY,Urgency,1,Limited-time Messages
273 units sold in the last 30 days,Social Proof,1,Activity Notifications
 Search Search ,Not Dark Pattern,0,None
6 other people looking at this item,Social Proof,1,Activity Notifications
 Amethyst Beads ,Not Dark Pattern,0,None
• State-by-State Restrictions,Not Dark Pattern,0,None
