Type,predicate,String,norm_text,cluster_id,canonical_example,canonical_norm
Social Proof,Activity Notifications,19 people viewed this product per day,<num> person view this product per day,153,19 people viewed this product per day,<num> person view this product per day
Misdirection,Confirmshaming,"No thanks, I despise coupons!",no thanks i despise coupons,336,"No thanks, I despise coupons!",no thanks i despise coupons
Misdirection,Pressured Selling,Customer also shopped for,customer also shopped for,388,Customer also shopped for,customer also shopped for
Misdirection,Confirmshaming,"No thanks, I don’t like fun and games.",no thanks i don t like fun and games,333,"No thanks, I don’t like fun and games.",no thanks i don t like fun and games
Social Proof,Activity Notifications,"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",joe m from bought a cartoon caterpillar rigged <num> d model recently,49,"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",joe m from bought a cartoon caterpillar rigged <num> d model recently
Misdirection,Trick Questions,Your discount is applied.*  *Additional handling fee may appear at checkout.,your discount is applied additional handling fee may appear at checkout,409,Your discount is applied.*  *Additional handling fee may appear at checkout.,your discount is applied additional handling fee may appear at checkout
Misdirection,Pressured Selling,Competitor Price: $172.00,competitor price <num>,384,Competitor Price: $172.00,competitor price <num>
Misdirection,Confirmshaming,"No Thanks, I Don't Want a Free Gift",no thanks i don t want a free gift,273,"No thanks, I don't want a free gift.",no thanks i don t want a free gift
Misdirection,Confirmshaming,"No Thanks, I prefer not to have a protection plan",no thanks i prefer not to have a protection plan,297,"No Thanks, I prefer not to have a protection plan",no thanks i prefer not to have a protection plan
Social Proof,Activity Notifications,7 people have it in their cart,<num> person have it in their cart,121,7 people have it in their cart,<num> person have it in their cart
Social Proof,Activity Notifications,"Mounif in Pittsburgh, United States purchased",mounif in pittsburgh united states purchased,27,"Mounif in Pittsburgh, United States purchased",mounif in pittsburgh united states purchased
Misdirection,Confirmshaming,"No thanks, I don’t want to save",no thanks i don t want to save,266,"No thanks, I don’t want to save",no thanks i don t want to save
Social Proof,Activity Notifications,"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",trey in sparta united states purchase stealth angel ultra lightweight portable sleeping bag about <num> minutes ago,79,"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",trey in sparta united states purchase stealth angel ultra lightweight portable sleeping bag about <num> minutes ago
Social Proof,Activity Notifications,11 people viewed this today!,<num> person view this today,169,11 people viewed this today!,<num> person view this today
Social Proof,Activity Notifications,Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,rebecca in buffalo just bought sateen twill swatchabout <num> hour ago,59,Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,rebecca in buffalo just bought sateen twill swatchabout <num> hour ago
Misdirection,Trick Questions,I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,i wish to start shopping but i don t want to receive daily email alerts about your amazing discounts on luxury brands,422,I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,i wish to start shopping but i don t want to receive daily email alerts about your amazing discounts on luxury brands
Misdirection,Confirmshaming,I'd rather not save,i d rather not save,310,I'd rather not save,i d rather not save
Social Proof,Activity Notifications,"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",someone in petaling jaya malaysia just bought sneakerguard midsole paint marker - boost white,62,"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",someone in petaling jaya malaysia just bought sneakerguard midsole paint marker - boost white
Misdirection,Pressured Selling,With 1-year Care Subscription 10 days history,with <num> -year care subscription <num> days history,369,With 1-year Care Subscription 10 days history,with <num> -year care subscription <num> days history
Misdirection,Confirmshaming,"No thanks, I'll pay full price",no thanks i ll pay full price,264,"No thanks, I'll pay full price!",no thanks i ll pay full price
Misdirection,Confirmshaming,"No thanks, I don't like promotions and exclusive content.",no thanks i don t like promotions and exclusive content,329,"No thanks, I don't like promotions and exclusive content.",no thanks i don t like promotions and exclusive content
Misdirection,Pressured Selling,$132.90 $99.00,<num> <num>,355,$132.90 $99.00,<num> <num>
Misdirection,Pressured Selling,Necessary Protection..,necessary protection,387,Necessary Protection..,necessary protection
Social Proof,Activity Notifications,Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,someone added <num> pc <num> ocean natural stone beads beaded bracelet men boho handmade to their cart right now,91,Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,someone added <num> pc <num> ocean natural stone beads beaded bracelet men boho handmade to their cart right now
Misdirection,Pressured Selling,Subscribe & Save (15%): $ 16.99,subscribe save <num> <num>,362,Subscribe & Save (15%): $ 16.99,subscribe save <num> <num>
Social Proof,Activity Notifications,156 sold in last 24 hours,<num> sold in last <num> hours,1,156 sold in last 24 hours,<num> sold in last <num> hours
Misdirection,Pressured Selling,Recommended option selected (you can modify later).,recommended option selected you can modify later,345,Recommended option selected (you can modify later).,recommended option selected you can modify later
Social Proof,Activity Notifications,"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",tuvia eisenberg systematics in tel aviv israel purchase a,192,"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",tuvia eisenberg systematics in tel aviv israel purchase a
Social Proof,Activity Notifications,"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",synne kristine in halden bought classic bokksu subscription billed every <num> month ships every <num> months about <num> minutes ago,74,"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",synne kristine in halden bought classic bokksu subscription billed every <num> month ships every <num> months about <num> minutes ago
Social Proof,Activity Notifications,"Jamie in Nashville, United States purchased",jamie in nashville united states purchased,45,"Jamie in Nashville, United States purchased",jamie in nashville united states purchased
Social Proof,Activity Notifications,2 customers recently bought it,<num> customers recent bought it,141,2 customers recently bought it,<num> customers recent bought it
Social Proof,Activity Notifications,Trending Style! Sold 4 times today,trending style sold <num> times today,78,Trending Style! Sold 4 times today,trending style sold <num> times today
Misdirection,Confirmshaming,"NO, I'LL PAY FULL PRICE",no i ll pay full price,278,"NO, I'LL PAY FULL PRICE",no i ll pay full price
Social Proof,Activity Notifications,Last purchased at 11:19am today.,last purchase at <num> <num> am today,57,Last purchased at 11:19am today.,last purchase at <num> <num> am today
Misdirection,Confirmshaming,I'll Shop Without A Discount,i ll shop without a discount,319,I'll Shop Without A Discount,i ll shop without a discount
Misdirection,Pressured Selling,"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",no usb or y-adapter our usb sound card is highly recommended for pc mac linux windows and works with current gen consoles the y adapter is recommended for console gaming phone or other trrs jacks,359,"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",no usb or y-adapter our usb sound card is highly recommended for pc mac linux windows and works with current gen consoles the y adapter is recommended for console gaming phone or other trrs jacks
Social Proof,Activity Notifications,146 people recently purchased this.,<num> person recent purchase this,226,146 people recently purchased this.,<num> person recent purchase this
Social Proof,Activity Notifications,"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",someone from cape town western cape south africa just started buy packable travel duffel bag <num> minutes ago,94,"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",someone from cape town western cape south africa just started buy packable travel duffel bag <num> minutes ago
Social Proof,Activity Notifications,"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",oliver in rotterdam netherlands purchase a england away soccer shorts <num> about <num> hours ago,30,"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",oliver in rotterdam netherlands purchase a england away soccer shorts <num> about <num> hours ago
Social Proof,Activity Notifications,Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,someone from purchase a holees original ladies ii - navy about <num> hours ago,108,Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,someone from purchase a holees original ladies ii - navy about <num> hours ago
Misdirection,Pressured Selling,ADD FOR BETTER RESULTS,add for better results,379,ADD FOR BETTER RESULTS,add for better results
Social Proof,Activity Notifications,Someone in city just added Radiance - Nebulizing Diffuser® to their cart,someone in city just added radiance - nebulizing diffuser to their cart,180,Someone in city just added Radiance - Nebulizing Diffuser® to their cart,someone in city just added radiance - nebulizing diffuser to their cart
Misdirection,Confirmshaming,"No thank you, I prefer to pay full price",no thank you i prefer to pay full price,323,"No thank you, I prefer to pay full price",no thank you i prefer to pay full price
Misdirection,Pressured Selling,ADD WORLD'S MOST COMFORTABLE CHAIRS,add world s most comfortable chairs,382,ADD WORLD'S MOST COMFORTABLE CHAIRS,add world s most comfortable chairs
Social Proof,Activity Notifications,89 currently viewing,<num> currently viewing,136,89 currently viewing,<num> currently viewing
Social Proof,Activity Notifications,"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",jim in houston usa purchase pure ratios hemp oil cbd patch <num> mg cbd,48,"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",jim in houston usa purchase pure ratios hemp oil cbd patch <num> mg cbd
Social Proof,Activity Notifications,104 people viewed this product recently!,<num> person view this product recent,233,104 people viewed this product recently!,<num> person view this product recent
Social Proof,Activity Notifications,"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",ashley in auburn united states purchase a check plz iphone x xs case about <num> minutes ago,156,"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",ashley in auburn united states purchase a check plz iphone x xs case about <num> minutes ago
Misdirection,Confirmshaming,"No thanks, I don't like promotions and exclusive content.",no thanks i don t like promotions and exclusive content,329,"No thanks, I don't like promotions and exclusive content.",no thanks i don t like promotions and exclusive content
Misdirection,Confirmshaming,"No, I Don't Like Discounts",no i don t like discounts,274,"No thanks, I don't like discounts",no thanks i don t like discounts
Misdirection,Pressured Selling,Best value pre-selected for you (change anytime).,best value pre-selected for you change anytime,347,Best value pre-selected for you (change anytime).,best value pre-selected for you change anytime
Misdirection,Confirmshaming,"No thanks, I don't want discount",no thanks i don t want discount,280,"No thanks, I don't want discount",no thanks i don t want discount
Social Proof,Activity Notifications,"Mher from San Angelo, TX Recently made a purchase with Crossrope",mher from san angelo tx recent made a purchase with crossrope,22,"Mher from San Angelo, TX Recently made a purchase with Crossrope",mher from san angelo tx recent made a purchase with crossrope
Misdirection,Confirmshaming,"No thanks, I'll be the last to know.",no thanks i ll be the last to know,301,"No thanks, I'll be the last to know.",no thanks i ll be the last to know
Social Proof,Activity Notifications,33 people are eyeing this item!,<num> person are eyeing this item,149,33 people are eyeing this item!,<num> person are eyeing this item
Misdirection,Confirmshaming,"No thanks, I don't want any deals",no thanks i don t want any deals,285,"No thanks, I don't want any deals",no thanks i don t want any deals
Social Proof,Activity Notifications,"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",someone from huntingtown maryland united states purchase topcoat f <num> polish sealer - web special kits just now,95,"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",someone from huntingtown maryland united states purchase topcoat f <num> polish sealer - web special kits just now
Misdirection,Confirmshaming,"No thanks, I like paying full price",no thanks i like paying full price,268,"No thanks, I like paying full price",no thanks i like paying full price
Misdirection,Confirmshaming,I'd rather not save,i d rather not save,310,I'd rather not save,i d rather not save
Misdirection,Confirmshaming,No thanks. I love chaos!,no thanks i love chaos,293,No thanks. I love chaos!,no thanks i love chaos
Misdirection,Confirmshaming,NO THANKS,no thanks,325,NO THANKS,no thanks
Social Proof,Activity Notifications,"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",chelsea in burlington wisconsin bought take out the boat jumpsuit blackabout <num> minutes ago,165,"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",chelsea in burlington wisconsin bought take out the boat jumpsuit blackabout <num> minutes ago
Social Proof,Activity Notifications,In other users' carts 59,in other users carts <num>,42,In other users' carts 59,in other users carts <num>
Misdirection,Trick Questions,"You choose: just one box, or a  Madison Reed Membership?",you choose just one box or a madison reed membership,411,"You choose: just one box, or a  Madison Reed Membership?",you choose just one box or a madison reed membership
Misdirection,Confirmshaming,"No thanks, I don't want to look my best",no thanks i don t want to look my best,283,"No thanks, I don't want to look my best",no thanks i don t want to look my best
Social Proof,Activity Notifications,"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",samuel in minneapolis united states purchase a pod juice jewel mint cool nicotine salt e-liquid <num> <num> ml <num> hours ago,89,"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",samuel in minneapolis united states purchase a pod juice jewel mint cool nicotine salt e-liquid <num> <num> ml <num> hours ago
Social Proof,Activity Notifications,Someone from Airdrie & 10820 others bought this item recently.,someone from airdrie <num> others bought this item recent,93,Someone from Airdrie & 10820 others bought this item recently.,someone from airdrie <num> others bought this item recent
Misdirection,Confirmshaming,"Nah, I like paying full price",nah i like paying full price,318,"Nah, I like paying full price",nah i like paying full price
Social Proof,Activity Notifications,"Another babe in Alexandria, United States just ordered Flat Tummy Tea",another babe in alexandria united states just ordered flat tummy tea,167,"Another babe in Alexandria, United States just ordered Flat Tummy Tea",another babe in alexandria united states just ordered flat tummy tea
Social Proof,Activity Notifications,Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,someone in yanchep bought a <num> mm mechanical performance boost gauge - blue white <num> seconds ago,71,Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,someone in yanchep bought a <num> mm mechanical performance boost gauge - blue white <num> seconds ago
Social Proof,Activity Notifications,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,popular item <num> person are view this and <num> recent purchase it,23,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,popular item <num> person are view this and <num> recent purchase it
Misdirection,Trick Questions,Your extra coupon is ready—press 'Continue' to proceed.,your extra coupon is ready press continue to proceed,429,Your extra coupon is ready—press 'Continue' to proceed.,your extra coupon is ready press continue to proceed
Social Proof,Activity Notifications,"William in Pago Pago, United States purchased a",william in pago pago united states purchase a,154,"William in Pago Pago, United States purchased a",william in pago pago united states purchase a
Misdirection,Confirmshaming,"No, thanks. I don't like great deals.",no thanks i don t like great deals,330,"No, thanks. I don't like great deals.",no thanks i don t like great deals
Misdirection,Pressured Selling,Continue to claim your bonus points (auto-applies at checkout).,continue to claim your bonus points auto-applies at checkout,386,Continue to claim your bonus points (auto-applies at checkout).,continue to claim your bonus points auto-applies at checkout
Social Proof,Activity Notifications,Someone in United States just purchased a,someone in united states just purchase a,68,Someone in United States just purchased a,someone in united states just purchase a
Social Proof,Activity Notifications,72 Viewing This Product,<num> view this product,10,72 Viewing This Product,<num> view this product
Misdirection,Confirmshaming,I don't want a discount,i don t want a discount,271,"No Thanks, I Don't Want a Discount",no thanks i don t want a discount
Misdirection,Trick Questions,Your discount is applied.*  *Additional service fee may appear at checkout.,your discount is applied additional service fee may appear at checkout,405,Your discount is applied.*  *Additional service fee may appear at checkout.,your discount is applied additional service fee may appear at checkout
Misdirection,Confirmshaming,NO THANKS,no thanks,325,NO THANKS,no thanks
Misdirection,Confirmshaming,"NO THANKS, I DON'T WANT TO SAVE MONEY",no thanks i don t want to save money,270,"NO THANKS, I DON'T WANT TO SAVE MONEY",no thanks i don t want to save money
Misdirection,Confirmshaming,"No, I don't feel lucky",no i don t feel lucky,260,"No, I don't feel lucky",no i don t feel lucky
Misdirection,Confirmshaming,"No, I don't feel lucky",no i don t feel lucky,260,"No, I don't feel lucky",no i don t feel lucky
Misdirection,Confirmshaming,"No thanks, I'll just pay full price.",no thanks i ll just pay full price,308,"No thanks, I'll just pay full price.",no thanks i ll just pay full price
Social Proof,Activity Notifications,"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",someone in cashmere bought a rcm cosworth timing belt kit <num> - <num> my ej <num> <num> <num> hour ago,107,"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",someone in cashmere bought a rcm cosworth timing belt kit <num> - <num> my ej <num> <num> <num> hour ago
Social Proof,Activity Notifications,"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",someone from osijek croatia just bought tmc cp style single pistol pouch,244,"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",someone from osijek croatia just bought tmc cp style single pistol pouch
Misdirection,Pressured Selling,Recommended option selected (you can modify later).,recommended option selected you can modify later,345,Recommended option selected (you can modify later).,recommended option selected you can modify later
Social Proof,Activity Notifications,"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",rose in portland united states purchase green eco-friendly iphone xr case about <num> minutes ago,259,"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",rose in portland united states purchase green eco-friendly iphone xr case about <num> minutes ago
Misdirection,Confirmshaming,"No thanks, I’d rather not win.",no thanks i d rather not win,338,"No thanks, I’d rather not win.",no thanks i d rather not win
Social Proof,Activity Notifications,Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,chirag in anoopshahr just got the jays - a-jays one about <num> minutes ago,194,Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,chirag in anoopshahr just got the jays - a-jays one about <num> minutes ago
Misdirection,Confirmshaming,"No thanks, I don't like deals.",no thanks i don t like deals,275,"No thanks, I don't like deals.",no thanks i don t like deals
Misdirection,Confirmshaming,"No thanks, I'll pay full price!",no thanks i ll pay full price,264,"No thanks, I'll pay full price!",no thanks i ll pay full price
Misdirection,Confirmshaming,I Don't Like to Save Money,i don t like to save money,320,I Don't Like to Save Money,i don t like to save money
Misdirection,Confirmshaming,"No thanks, I’d rather pay full price.",no thanks i d rather pay full price,261,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price
Social Proof,Activity Notifications,Purchased 8 times in the last few days.,purchased <num> times in the last few days,6,Purchased 8 times in the last few days.,purchased <num> times in the last few days
Social Proof,Activity Notifications,1626 people seeing this product right now,<num> person seeing this product right now,17,1626 people seeing this product right now,<num> person seeing this product right now
Misdirection,Confirmshaming,"No Thanks, I Don't Want a Discount",no thanks i don t want a discount,271,"No Thanks, I Don't Want a Discount",no thanks i don t want a discount
Misdirection,Confirmshaming,"No thanks, I don't like saving money",no thanks i don t like saving money,265,"No Thanks, I Don't Like Saving Money.",no thanks i don t like saving money
Social Proof,Activity Notifications,"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",james in cashion oklahoma just bought glossy black brick geode amber gradient fast lanes,44,"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",james in cashion oklahoma just bought glossy black brick geode amber gradient fast lanes
Social Proof,Activity Notifications,11 people viewed this today!,<num> person view this today,169,11 people viewed this today!,<num> person view this today
Social Proof,Activity Notifications,166 people have added this item to cart,<num> person have added this item to cart,4,17 people have added this item to cart,<num> person have added this item to cart
Misdirection,Confirmshaming,No thanks! I don't like deals,no thanks i don t like deals,275,"No thanks, I don't like deals.",no thanks i don t like deals
Misdirection,Pressured Selling,ADD WORLD'S MOST COMFORTABLE CHAIRS,add world s most comfortable chairs,382,ADD WORLD'S MOST COMFORTABLE CHAIRS,add world s most comfortable chairs
Social Proof,Activity Notifications,8 people have viewed this product today!,<num> person have view this product today,215,8 people have viewed this product today!,<num> person have view this product today
Misdirection,Pressured Selling,Save $148.98AUD – 49% Off,save <num> aud <num> off,361,Save $148.98AUD – 49% Off,save <num> aud <num> off
Misdirection,Confirmshaming,"No thanks, I dont want a discount",no thanks i dont want a discount,299,"No thanks, I dont want a discount",no thanks i dont want a discount
Misdirection,Confirmshaming,"No thank you, I prefer to pay for shipping.",no thank you i prefer to pay for shipping,312,"No thank you, I prefer to pay for shipping.",no thank you i prefer to pay for shipping
Misdirection,Confirmshaming,"No, I don't feel lucky",no i don t feel lucky,260,"No, I don't feel lucky",no i don t feel lucky
Misdirection,Confirmshaming,"No thanks, I don't want to save up to 75%",no thanks i don t want to save up to <num>,288,"No thanks, I don't want to save up to 75%",no thanks i don t want to save up to <num>
Social Proof,Activity Notifications,45 ADDED TO BAG IN THE PAST 24 HOURS,<num> added to bag in the past <num> hours,134,45 ADDED TO BAG IN THE PAST 24 HOURS,<num> added to bag in the past <num> hours
Social Proof,Activity Notifications,"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",sierra in cypress california bought beauty in all dress dusty blue about <num> minutes ago,249,"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",sierra in cypress california bought beauty in all dress dusty blue about <num> minutes ago
Social Proof,Activity Notifications,Get it fast! 14 added to bag today,get it fast <num> added to bag today,37,Get it fast! 14 added to bag today,get it fast <num> added to bag today
Misdirection,Pressured Selling,Almost there—confirm details to receive free gift.,almost there confirm details to receive free gift,349,Almost there—confirm details to receive free gift.,almost there confirm details to receive free gift
Social Proof,Activity Notifications,"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",someone in kilwinning united kingdom just bought cuban link chain bracelet,60,"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",someone in kilwinning united kingdom just bought cuban link chain bracelet
Misdirection,Pressured Selling,Save $148.98AUD – 49% Off,save <num> aud <num> off,361,Save $148.98AUD – 49% Off,save <num> aud <num> off
Misdirection,Confirmshaming,"No Thanks, I don't want a discount",no thanks i don t want a discount,271,"No Thanks, I Don't Want a Discount",no thanks i don t want a discount
Misdirection,Confirmshaming,"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",no thanks i ll skip this amazing super-saver deal i don t need so many beautiful textures,295,"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",no thanks i ll skip this amazing super-saver deal i don t need so many beautiful textures
Social Proof,Activity Notifications,Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,someone in faizabad just bought pretty love penis sleeve <num> inch an hour <num> minutes ago,186,Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,someone in faizabad just bought pretty love penis sleeve <num> inch an hour <num> minutes ago
Misdirection,Trick Questions,I WANT TO PAY MORE LATER ;),i want to pay more later,423,I WANT TO PAY MORE LATER ;),i want to pay more later
Misdirection,Confirmshaming,"No Thanks, I don't like free stuff.",no thanks i don t like free stuff,263,"No thanks, I don't like FREE stuff.",no thanks i don t like free stuff
Social Proof,Activity Notifications,2 customers recently bought it,<num> customers recent bought it,141,2 customers recently bought it,<num> customers recent bought it
Misdirection,Confirmshaming,"No thanks, I don't want any deals",no thanks i don t want any deals,285,"No thanks, I don't want any deals",no thanks i don t want any deals
Social Proof,Activity Notifications,69 people are viewing this,<num> person are view this,3,9 people are viewing this.,<num> person are view this
Social Proof,Activity Notifications,1 other customers have this item in their shopping cart,<num> other customers have this item in their shopping cart,145,1 other customers have this item in their shopping cart,<num> other customers have this item in their shopping cart
Misdirection,Pressured Selling,Want a special deal? Bundle and SAVE UPTO30%,want a special deal bundle and save upto <num>,367,Want a special deal? Bundle and SAVE UPTO30%,want a special deal bundle and save upto <num>
Social Proof,Activity Notifications,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago,102,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago
Social Proof,Activity Notifications,17 people have viewed this wine today,<num> person have view this wine today,126,17 people have viewed this wine today,<num> person have view this wine today
Misdirection,Trick Questions,Compare at,compare at,407,Compare at,compare at
Misdirection,Confirmshaming,"no thanks, I don't like to save",no thanks i don t like to save,277,"No thanks, I don't like to save",no thanks i don t like to save
Misdirection,Confirmshaming,"I DON'T LIKE FREE GIFTS, NO THANKS",i don t like free gifts no thanks,321,"I DON'T LIKE FREE GIFTS, NO THANKS",i don t like free gifts no thanks
Misdirection,Confirmshaming,"No Thanks, I Don't Like Exclusive Offers.",no thanks i don t like exclusive offers,272,"No Thanks, I Don't Like Exclusive Offers.",no thanks i don t like exclusive offers
Misdirection,Pressured Selling,Want a special deal? Bundle and SAVE UPTO30%,want a special deal bundle and save upto <num>,367,Want a special deal? Bundle and SAVE UPTO30%,want a special deal bundle and save upto <num>
Social Proof,Activity Notifications,13 people have added this to their cart,<num> person have added this to their cart,116,13 people have added this to their cart,<num> person have added this to their cart
Social Proof,Activity Notifications,"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",long dress style beach cover up with lace detail jessica in metairie united states,34,"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",long dress style beach cover up with lace detail jessica in metairie united states
Misdirection,Pressured Selling,"""Your purchase entitles you to the following special""",your purchase entitles you to the following special,401,"""Your purchase entitles you to the following special""",your purchase entitles you to the following special
Misdirection,Pressured Selling,Order without free membership $69.95,order without free membership <num>,358,Order without free membership $69.95,order without free membership <num>
Misdirection,Confirmshaming,"No, I don't feel lucky",no i don t feel lucky,260,"No, I don't feel lucky",no i don t feel lucky
Misdirection,Confirmshaming,"NO THANKS, I DON'T WANT TO SAVE",no thanks i don t want to save,266,"No thanks, I don’t want to save",no thanks i don t want to save
Misdirection,Confirmshaming,I don't want to save money,i don t want to save money,270,"NO THANKS, I DON'T WANT TO SAVE MONEY",no thanks i don t want to save money
Social Proof,Activity Notifications,2 people are viewing this,<num> person are view this,3,9 people are viewing this.,<num> person are view this
Misdirection,Trick Questions,I already have this item. Do not add this to cart,i already have this item do not add this to cart,426,I already have this item. Do not add this to cart,i already have this item do not add this to cart
Social Proof,Activity Notifications,Other people want this. 10 people have this in their cart right now.,other person want this <num> person have this in their cart now,32,Other people want this. 10 people have this in their cart right now.,other person want this <num> person have this in their cart now
Misdirection,Pressured Selling,Continue to claim your exclusive access (auto-applies at checkout).,continue to claim your exclusive access auto-applies at checkout,403,Continue to claim your exclusive access (auto-applies at checkout).,continue to claim your exclusive access auto-applies at checkout
Social Proof,Activity Notifications,Get it fast! 14 added to bag today,get it fast <num> added to bag today,37,Get it fast! 14 added to bag today,get it fast <num> added to bag today
Misdirection,Pressured Selling,Almost there—confirm details to receive exclusive access.,almost there confirm details to receive exclusive access,350,Almost there—confirm details to receive exclusive access.,almost there confirm details to receive exclusive access
Social Proof,Activity Notifications,1 people bought Jotter To Do Refill in the last few hours,<num> person bought jotter to do refill in the last few hours,112,1 people bought Jotter To Do Refill in the last few hours,<num> person bought jotter to do refill in the last few hours
Social Proof,Activity Notifications,117 people have viewed this item in the last 7 days.,<num> person have view this item in the last <num> days,214,117 people have viewed this item in the last 7 days.,<num> person have view this item in the last <num> days
Misdirection,Confirmshaming,I'LL PAY FULL PRICE,i ll pay full price,264,"No thanks, I'll pay full price!",no thanks i ll pay full price
Misdirection,Confirmshaming,"No thanks, I'll still want to pay full price",no thanks i ll still want to pay full price,294,"No thanks, I'll still want to pay full price",no thanks i ll still want to pay full price
