Type,predicate,String,norm_text,cluster_id,canonical_example,canonical_norm
Misdirection,Confirmshaming,No thanks. I'd rather pay full price.,no thanks i d rather pay full price,299,No thanks. I'd rather pay full price.,no thanks i d rather pay full price
Social Proof,Activity Notifications,RECENTLY VIEWED 2 others viewed this in the last few hours,recently view <num> others view this in the last few hours,44,RECENTLY VIEWED 2 others viewed this in the last few hours,recently view <num> others view this in the last few hours
Social Proof,Activity Notifications,9 people are viewing this.,<num> person are view this,4,9 people are viewing this.,<num> person are view this
Misdirection,Confirmshaming,"NO THANKS, I DON’T MIND MISSING OUT",no thanks i don t mind missing out,324,"NO THANKS, I DON’T MIND MISSING OUT",no thanks i don t mind missing out
Social Proof,Activity Notifications,Your neighbors in your region just ordered this,your neighbors in your region just ordered this,298,Your neighbors in your region just ordered this,your neighbors in your region just ordered this
Misdirection,Trick Questions,Savings applied at pop up Sign up to finalize,savings applied at pop up sign up to finalize,565,Savings applied at pop up Sign up to finalize,savings applied at pop up sign up to finalize
Social Proof,Activity Notifications,Someone in Egypt bought,someone in egypt bought,150,Someone in Egypt bought,someone in egypt bought
Social Proof,Activity Notifications,Seen on product page 75 clicks today,seen on product page <num> clicks today,24,Seen on product page 79 clicks today,seen on product page <num> clicks today
Misdirection,Confirmshaming,"NO, I'LL PAY FULL PRICE",no i ll pay full price,368,"NO, I'LL PAY FULL PRICE",no i ll pay full price
Misdirection,Pressured Selling,Your fitness app includes gift wrap unless removed,your fitness app includes gift wrap unless removed,441,Your fitness app includes gift wrap unless removed,your fitness app includes gift wrap unless removed
Social Proof,Activity Notifications,"Someone in Ampang, Malaysia just bought",someone in ampang malaysia just bought,127,"Someone in Ampang, Malaysia just bought",someone in ampang malaysia just bought
Social Proof,Activity Notifications,1 person is viewing this,<num> person is view this,20,🔥👁️ 1 person is viewing this.,<num> person is view this
Misdirection,Confirmshaming,"No Thanks, I don't like exclusive deals.",no thanks i don t like exclusive deals,374,"No Thanks, I don't like exclusive deals.",no thanks i don t like exclusive deals
Social Proof,Activity Notifications,"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",tuvia eisenberg systematics in tel aviv israel purchase a,114,"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",tuvia eisenberg systematics in tel aviv israel purchase a
Misdirection,Pressured Selling,Your discount is applied Additional administration fee may appear at checkout,your discount is applied additional administration fee may appear at checkout,433,Your discount is applied Additional administration fee may appear at checkout,your discount is applied additional administration fee may appear at checkout
Misdirection,Confirmshaming,"Nah, I like paying full price",nah i like paying full price,357,"Nah, I like paying full price",nah i like paying full price
Social Proof,Activity Notifications,30 people have purchased this item,<num> person have purchase this item,1,"2,221 people have purchased this item",<num> person have purchase this item
Misdirection,Trick Questions,Decline protection small text or Continue to continue,decline protection small text or continue to continue,645,Decline protection small text or Continue to continue,decline protection small text or continue to continue
Misdirection,Trick Questions,Savings applied at mobile app Apply coupon to finalize,savings applied at mobile app apply coupon to finalize,566,Savings applied at mobile app Apply coupon to finalize,savings applied at mobile app apply coupon to finalize
Misdirection,Confirmshaming,"No thanks, I don’t like fun and games.",no thanks i don t like fun and games,372,"No thanks, I don’t like fun and games.",no thanks i don t like fun and games
Misdirection,Trick Questions,Promo applied Taxes and handling fee may be shown at checkout,promo applied taxes and handling fee may be shown at checkout,598,Promo applied Taxes and handling fee may be shown at checkout,promo applied taxes and handling fee may be shown at checkout
Misdirection,Confirmshaming,I don't want a discount,i don t want a discount,315,"No Thanks, I Don't Want a Discount",no thanks i don t want a discount
Misdirection,Pressured Selling,cashback reward unlocked selection is already chosen for you,cashback reward unlocked selection is already chosen for you,473,cashback reward unlocked selection is already chosen for you,cashback reward unlocked selection is already chosen for you
Social Proof,Activity Notifications,"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",ken in oakland united states purchase a dreamville hoodie a month ago,65,"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",ken in oakland united states purchase a dreamville hoodie a month ago
Social Proof,Activity Notifications,Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,someone in red cliffs bought a rhk yamaha yz yzf wrf <num> - <num> blue pursuit footpegs <num> minutes ago,101,Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,someone in red cliffs bought a rhk yamaha yz yzf wrf <num> - <num> blue pursuit footpegs <num> minutes ago
Misdirection,Confirmshaming,"NO, THANKS. I DON'T LIKE DISCOUNTS",no thanks i don t like discounts,308,"NO, THANKS. I DON'T LIKE DISCOUNTS",no thanks i don t like discounts
Social Proof,Activity Notifications,Friends near you bought this in the last 10 minutes,friends near you bought this in the last <num> minutes,236,Friends near you bought this in the last 10 minutes,friends near you bought this in the last <num> minutes
Misdirection,Confirmshaming,"No, thanks. I'd rather pay full price.",no thanks i d rather pay full price,299,No thanks. I'd rather pay full price.,no thanks i d rather pay full price
Social Proof,Activity Notifications,Over 38 bought,over <num> bought,73,Over 38 bought,over <num> bought
Misdirection,Confirmshaming,"No thanks, free stuff isn't for me.",no thanks free stuff isn t for me,381,"No thanks, free stuff isn't for me.",no thanks free stuff isn t for me
Misdirection,Pressured Selling,Continue with Pro to keep easiest to set up,continue with pro to keep easiest to set up,545,Continue with Pro to keep easiest to set up,continue with pro to keep easiest to set up
Misdirection,Pressured Selling,Limited-time Offer: Bundle a base and get 20% off,limited-time offer bundle a base and get <num> off,522,Limited-time Offer: Bundle a base and get 20% off,limited-time offer bundle a base and get <num> off
Misdirection,Pressured Selling,Promo applied Taxes and activation fee may be shown at checkout,promo applied taxes and activation fee may be shown at checkout,426,Promo applied Taxes and activation fee may be shown at checkout,promo applied taxes and activation fee may be shown at checkout
Social Proof,Activity Notifications,"Awhi from Hicks Bay, Gisborne, New Zealand just bought",awhi from hicks bay gisborne new zealand just bought,293,"Awhi from Hicks Bay, Gisborne, New Zealand just bought",awhi from hicks bay gisborne new zealand just bought
Social Proof,Activity Notifications,Hurry up! 6 people other than you have this product in their cart,hurry up <num> person other than you have this product in their cart,11,Hurry up! 6 people other than you have this product in their cart,hurry up <num> person other than you have this product in their cart
Misdirection,Trick Questions,Skip step appears after you click Next,skip step appears after you click next,553,Skip step appears after you click Next,skip step appears after you click next
Misdirection,Pressured Selling,Your discount is applied Additional membership fee may appear at checkout,your discount is applied additional membership fee may appear at checkout,436,Your discount is applied Additional membership fee may appear at checkout,your discount is applied additional membership fee may appear at checkout
Social Proof,Activity Notifications,"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",someone in joliet illinois purchase a yocan evolve plus xl vaporizer,147,"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",someone in joliet illinois purchase a yocan evolve plus xl vaporizer
Misdirection,Pressured Selling,By proceeding you will keep the current promotional rate,by proceeding you will keep the current promotional rate,472,By proceeding you will keep the current promotional rate,by proceeding you will keep the current promotional rate
Social Proof,Activity Notifications,"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",jim in houston usa purchase pure ratios hemp oil cbd patch <num> mg cbd,252,"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",jim in houston usa purchase pure ratios hemp oil cbd patch <num> mg cbd
Social Proof,Activity Notifications,5 people are looking at this product right now,<num> person are looking at this product right now,216,5 people are looking at this product right now,<num> person are looking at this product right now
Social Proof,Activity Notifications,"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",marc in newton united states purchasedktm stand plate large ktm,57,"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",marc in newton united states purchasedktm stand plate large ktm
Social Proof,Activity Notifications,"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",kamal in lathrop united states purchase a father sons super slim stretch feather print long sleeve - fs <num> <num> hours ago,67,"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",kamal in lathrop united states purchase a father sons super slim stretch feather print long sleeve - fs <num> <num> hours ago
Misdirection,Trick Questions,Lenscap: Damage Only,lenscap damage only,632,Lenscap: Damage Only,lenscap damage only
Misdirection,Pressured Selling,Recommended option selected you can modify later,recommended option selected you can modify later,422,Recommended option selected you can modify later,recommended option selected you can modify later
Misdirection,Confirmshaming,"No thanks, I don't like discounts",no thanks i don t like discounts,308,"NO, THANKS. I DON'T LIKE DISCOUNTS",no thanks i don t like discounts
Social Proof,Activity Notifications,52 people are looking at this right now.,<num> person are looking at this now,12,52 people are looking at this right now.,<num> person are looking at this now
Social Proof,Activity Notifications,308 viewed per day,<num> view per day,277,308 viewed per day,<num> view per day
Social Proof,Activity Notifications,"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",keith in champaign illinois bought mini usb audio cassette to mp <num> converterabout <num> minutes ago,66,"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",keith in champaign illinois bought mini usb audio cassette to mp <num> converterabout <num> minutes ago
Social Proof,Activity Notifications,"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",jacob in seymour wisconsin united states purchase a bass xl just now,261,"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",jacob in seymour wisconsin united states purchase a bass xl just now
Misdirection,Confirmshaming,"NO, I DON'T FEEL LUCKY",no i don t feel lucky,306,"NO, I DON'T FEEL LUCKY",no i don t feel lucky
Misdirection,Pressured Selling,The fastest route is pre checked for your convenience,the fastest route is pre checked for your convenience,399,The fastest route is pre checked for your convenience,the fastest route is pre checked for your convenience
Misdirection,Confirmshaming,"No Thanks, I'd rather pay full price",no thanks i d rather pay full price,299,No thanks. I'd rather pay full price.,no thanks i d rather pay full price
Misdirection,Trick Questions,By clicking Checkout you accept promotional communications,by clicking checkout you accept promotional communications,613,By clicking Checkout you accept promotional communications,by clicking checkout you accept promotional communications
Misdirection,Trick Questions,Decline protection small text or Next to continue,decline protection small text or next to continue,644,Decline protection small text or Next to continue,decline protection small text or next to continue
Misdirection,Confirmshaming,"No Thanks, I'd Rather Pay Full Price",no thanks i d rather pay full price,299,No thanks. I'd rather pay full price.,no thanks i d rather pay full price
Social Proof,Activity Notifications,Fast Mover: 35 PEOPLE added this to cart today!,fast mover <num> person added this to cart today,235,Fast Mover: 35 PEOPLE added this to cart today!,fast mover <num> person added this to cart today
Misdirection,Trick Questions,By clicking Continue you accept promotional communications,by clicking continue you accept promotional communications,623,By clicking Continue you accept promotional communications,by clicking continue you accept promotional communications
Social Proof,Activity Notifications,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,popular item <num> person are view this and <num> recent purchase it,38,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,popular item <num> person are view this and <num> recent purchase it
Social Proof,Activity Notifications,52 people have added this product to bag in the last 72 hours,<num> person have added this product to bag in the last <num> hours,165,52 people have added this product to bag in the last 72 hours,<num> person have added this product to bag in the last <num> hours
Misdirection,Pressured Selling,Your discount is applied Additional service fee may appear at checkout,your discount is applied additional service fee may appear at checkout,446,Your discount is applied Additional service fee may appear at checkout,your discount is applied additional service fee may appear at checkout
Misdirection,Trick Questions,To access the discount agree to terms on the next page,to access the discount agree to terms on the next page,550,To access the discount agree to terms on the next page,to access the discount agree to terms on the next page
Social Proof,Activity Notifications,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago,133,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago
Misdirection,Confirmshaming,"NO THANKS, I DON'T WANT 20% OFF MY ORDER",no thanks i don t want <num> off my order,320,"NO THANKS, I DON'T WANT 20% OFF MY ORDER",no thanks i don t want <num> off my order
Social Proof,Activity Notifications,Last purchased at 11:19am today.,last purchase at <num> <num> am today,63,Last purchased at 11:19am today.,last purchase at <num> <num> am today
Misdirection,Trick Questions,Free trial starts now billing begins automatically after 3 hours,free trial starts now billing begins automatically after <num> hours,547,Free trial starts now billing begins automatically after 24 hours,free trial starts now billing begins automatically after <num> hours
Misdirection,Confirmshaming,No thanks. I don't like free things...,no thanks i don t like free things,373,No thanks. I don't like free things...,no thanks i don t like free things
Misdirection,Pressured Selling,Your discount is applied Additional handling fee may appear at checkout,your discount is applied additional handling fee may appear at checkout,435,Your discount is applied Additional handling fee may appear at checkout,your discount is applied additional handling fee may appear at checkout
Misdirection,Trick Questions,Savings applied at push notification Get deal to finalize,savings applied at push notification get deal to finalize,561,Savings applied at push notification Get deal to finalize,savings applied at push notification get deal to finalize
Misdirection,Trick Questions,Your trial auto renews press Checkout to keep access,your trial auto renews press checkout to keep access,578,Your trial auto renews press Checkout to keep access,your trial auto renews press checkout to keep access
Misdirection,Confirmshaming,"No thanks, I prefer to pay more for shoes!",no thanks i prefer to pay more for shoes,334,"No thanks, I prefer to pay more for shoes!",no thanks i prefer to pay more for shoes
Social Proof,Activity Notifications,Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,someone bought hype blue large splat kids leggings,138,Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,someone bought hype blue large splat kids leggings
Social Proof,Activity Notifications,High demand 19 views in 6 hours,high demand <num> views in <num> hours,8,High demand 19 views in 6 hours,high demand <num> views in <num> hours
Social Proof,Activity Notifications,251 people are viewing this right now,<num> person are view this right now,195,251 people are viewing this right now,<num> person are view this right now
Misdirection,Confirmshaming,"No thanks, I don't like good deals.",no thanks i don t like good deals,352,"No thanks, I don't like good deals.",no thanks i don t like good deals
Misdirection,Confirmshaming,"[NO THANKS, I'LL JUST WALK]",no thanks i ll just walk,344,"[NO THANKS, I'LL JUST WALK]",no thanks i ll just walk
Misdirection,Pressured Selling,We have applied the optimal settings automatically,we have applied the optimal settings automatically,458,We have applied the optimal settings automatically,we have applied the optimal settings automatically
Misdirection,Confirmshaming,"Yes, I Want To Save Money!No Thanks",yes i want to save money no thanks,389,"Yes, I Want To Save Money!No Thanks",yes i want to save money no thanks
Misdirection,Trick Questions,Your free gift is ready press Continue to proceed,your free gift is ready press continue to proceed,581,Your free gift is ready press Continue to proceed,your free gift is ready press continue to proceed
Misdirection,Confirmshaming,"No thanks, I don't like getting free stuff.",no thanks i don t like getting free stuff,371,"No thanks, I don't like getting free stuff.",no thanks i don t like getting free stuff
Social Proof,Activity Notifications,Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,chirag in anoopshahr just got the jays - a-jays one about <num> minutes ago,285,Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,chirag in anoopshahr just got the jays - a-jays one about <num> minutes ago
Social Proof,Activity Notifications,"Someone in Chambersburg, Pennsylvania purchased",someone in chambersburg pennsylvania purchased,154,"Someone in Chambersburg, Pennsylvania purchased",someone in chambersburg pennsylvania purchased
Misdirection,Pressured Selling,ADD FOR BETTER RESULTS,add for better results,495,ADD FOR BETTER RESULTS,add for better results
Misdirection,Pressured Selling,How about one of these hot sellers?,how about one of these hot sellers,512,How about one of these hot sellers?,how about one of these hot sellers
Misdirection,Confirmshaming,I don't like discounts,i don t like discounts,308,"NO, THANKS. I DON'T LIKE DISCOUNTS",no thanks i don t like discounts
Social Proof,Activity Notifications,Hot right now purchased today,hot now purchase today,241,Hot right now purchased today,hot now purchase today
Misdirection,Confirmshaming,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price,299,No thanks. I'd rather pay full price.,no thanks i d rather pay full price
Social Proof,Activity Notifications,Viewed 744 times today,viewed <num> times today,111,Viewed 744 times today,viewed <num> times today
Misdirection,Pressured Selling,Your Family discount applies if you proceed now,your family discount applies if you proceed now,440,Your Family discount applies if you proceed now,your family discount applies if you proceed now
Misdirection,Pressured Selling,Optional extra storage is included remove to proceed without it,optional extra storage is included remove to proceed without it,468,Optional extra storage is included remove to proceed without it,optional extra storage is included remove to proceed without it
Social Proof,Activity Notifications,9 sold in last 4 hours,<num> sold in last <num> hours,0,9 sold in last 4 hours,<num> sold in last <num> hours
Misdirection,Pressured Selling,Your camera lens includes priority support unless removed,your camera lens includes priority support unless removed,464,Your camera lens includes priority support unless removed,your camera lens includes priority support unless removed
Misdirection,Trick Questions,Promo applied Taxes and transaction fee may be shown at checkout,promo applied taxes and transaction fee may be shown at checkout,569,Promo applied Taxes and transaction fee may be shown at checkout,promo applied taxes and transaction fee may be shown at checkout
Misdirection,Trick Questions,Your discount voucher is ready press Continue to proceed,your discount voucher is ready press continue to proceed,582,Your discount voucher is ready press Continue to proceed,your discount voucher is ready press continue to proceed
Misdirection,Confirmshaming,"NO THANKS, I DON'T LIKE FREE STUFF",no thanks i don t like free stuff,301,"NO THANKS, I DON'T LIKE FREE STUFF",no thanks i don t like free stuff
Misdirection,Confirmshaming,No thanks - I don't want to save money,no thanks - i don t want to save money,382,No thanks - I don't want to save money,no thanks - i don t want to save money
Misdirection,Confirmshaming,"No thanks, I don't like FREE stuff.",no thanks i don t like free stuff,301,"NO THANKS, I DON'T LIKE FREE STUFF",no thanks i don t like free stuff
Misdirection,Pressured Selling,Best seller highlighted already added to your bundle,best seller highlighted already added to your bundle,470,Best seller highlighted already added to your bundle,best seller highlighted already added to your bundle
Social Proof,Activity Notifications,"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",mitchell h purchase a dimplex ignitexl <num> linear built in electric fireplace,69,"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",mitchell h purchase a dimplex ignitexl <num> linear built in electric fireplace
Social Proof,Activity Notifications,156 sold in last 24 hours,<num> sold in last <num> hours,0,9 sold in last 4 hours,<num> sold in last <num> hours
Social Proof,Activity Notifications,17 people have added this item to cart,<num> person have added this item to cart,3,17 people have added this item to cart,<num> person have added this item to cart
Misdirection,Pressured Selling,Continue with Pro to keep recommended by experts,continue with pro to keep recommended by experts,538,Continue with Pro to keep recommended by experts,continue with pro to keep recommended by experts
Misdirection,Confirmshaming,"No thanks, I don't like savings",no thanks i don t like savings,388,"No thanks, I don't like savings",no thanks i don t like savings
Social Proof,Activity Notifications,111 people have purchased this item,<num> person have purchase this item,1,"2,221 people have purchased this item",<num> person have purchase this item
Social Proof,Activity Notifications,Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,someone in keilor east bought a piranta-edge skinning knife - blaze - havalon knives <num> minutes ago,146,Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,someone in keilor east bought a piranta-edge skinning knife - blaze - havalon knives <num> minutes ago
Social Proof,Activity Notifications,12 recently purchased it.,<num> recent purchase it,7,12 recently purchased it.,<num> recent purchase it
Misdirection,Trick Questions,Almost there confirm details to receive loyalty bonus,almost there confirm details to receive loyalty bonus,619,Almost there confirm details to receive loyalty bonus,almost there confirm details to receive loyalty bonus
Social Proof,Activity Notifications,77 PEOPLE LIKE THIS,<num> person like this,187,77 PEOPLE LIKE THIS,<num> person like this
Misdirection,Pressured Selling,Add ad free experience for the full experience pre selected,add ad free experience for the full experience pre selected,489,Add ad free experience for the full experience pre selected,add ad free experience for the full experience pre selected
Misdirection,Confirmshaming,"No thanks, I want to pay the full price.",no thanks i want to pay the full price,330,"No thanks, I want to pay the full price.",no thanks i want to pay the full price
Social Proof,Activity Notifications,Over 238 people have bought this product,over <num> person have bought this product,72,Over 238 people have bought this product,over <num> person have bought this product
Misdirection,Trick Questions,Cancel option is under Account Billing Manage Cancel,cancel option is under account billing manage cancel,607,Cancel option is under Account Billing Manage Cancel,cancel option is under account billing manage cancel
Social Proof,Activity Notifications,Don't miss out! We've sold 38 in the last few days.,don t miss out we ve sold <num> in the last few days,231,Don't miss out! We've sold 38 in the last few days.,don t miss out we ve sold <num> in the last few days
Social Proof,Activity Notifications,"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",alyssa in san antonio united states purchase a itunes japan gift card <num> jpy about <num> minutes ago,281,"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",alyssa in san antonio united states purchase a itunes japan gift card <num> jpy about <num> minutes ago
Social Proof,Activity Notifications,Purchased 100+ times in the last few days.,purchased <num> times in the last few days,17,Purchased 8 times in the last few days.,purchased <num> times in the last few days
Social Proof,Activity Notifications,"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",rose in portland united states purchase green eco-friendly iphone xr case about <num> minutes ago,46,"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",rose in portland united states purchase green eco-friendly iphone xr case about <num> minutes ago
Misdirection,Trick Questions,Your trial auto renews press Continue to keep access,your trial auto renews press continue to keep access,576,Your trial auto renews press Continue to keep access,your trial auto renews press continue to keep access
Misdirection,Pressured Selling,"""Your purchase entitles you to the following special""",your purchase entitles you to the following special,445,"""Your purchase entitles you to the following special""",your purchase entitles you to the following special
Social Proof,Activity Notifications,In other users' carts 59,in other users carts <num>,246,In other users' carts 59,in other users carts <num>
Misdirection,Pressured Selling,Continue with Enterprise to keep best value for money,continue with enterprise to keep best value for money,530,Continue with Enterprise to keep best value for money,continue with enterprise to keep best value for money
Social Proof,Activity Notifications,High demand 95 views in 3 hours,high demand <num> views in <num> hours,8,High demand 19 views in 6 hours,high demand <num> views in <num> hours
Social Proof,Activity Notifications,"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",annie in cheras malaysia just bought an abundance of flowers - van-go paint-by-number kit,282,"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",annie in cheras malaysia just bought an abundance of flowers - van-go paint-by-number kit
Social Proof,Activity Notifications,3642 BOUGHT,<num> bought,6,3642 BOUGHT,<num> bought
Misdirection,Confirmshaming,"No Thanks, I prefer paying full price.",no thanks i prefer paying full price,300,"No Thanks, I Prefer Paying Full Price.",no thanks i prefer paying full price
Social Proof,Activity Notifications,8 customers have bought today,<num> customers have bought today,203,8 customers have bought today,<num> customers have bought today
Misdirection,Pressured Selling,"THE COMPETITION $1,299.99",the competition <num> <num>,396,"THE COMPETITION $1,299.99",the competition <num> <num>
Misdirection,Trick Questions,We will keep your preferences cookies required if you hit Get deal,we will keep your preferences cookies required if you hit get deal,591,We will keep your preferences cookies required if you hit Get deal,we will keep your preferences cookies required if you hit get deal
Social Proof,Activity Notifications,Join over 83 people who already purchased this,join over <num> person who already purchase this,30,Join over 17 people who already purchased this,join over <num> person who already purchase this
Social Proof,Activity Notifications,"25,439 people have viewed this item",<num> person have view this item,2,161 people have viewed this item,<num> person have view this item
Social Proof,Activity Notifications,More than 752 users are adding shapewear to their cart. Is your size left?,more than <num> users are adding shapewear to their cart is your size left,71,More than 752 users are adding shapewear to their cart. Is your size left?,more than <num> users are adding shapewear to their cart is your size left
Social Proof,Activity Notifications,"Trey in Columbia, United States purchased Leather Cord Capsule",trey in columbia united states purchase leather cord capsule,117,"Trey in Columbia, United States purchased Leather Cord Capsule",trey in columbia united states purchase leather cord capsule
Social Proof,Activity Notifications,135 people have this in their cart,<num> person have this in their cart,16,135 people have this in their cart,<num> person have this in their cart
Misdirection,Pressured Selling,Continue to confirm your Pro plan you can downgrade later,continue to confirm your pro plan you can downgrade later,506,Continue to confirm your Pro plan you can downgrade later,continue to confirm your pro plan you can downgrade later
Misdirection,Confirmshaming,"No thanks, I don't like free stuff",no thanks i don t like free stuff,301,"NO THANKS, I DON'T LIKE FREE STUFF",no thanks i don t like free stuff
Social Proof,Activity Notifications,6 people have looked at this in the last few hrs.,<num> person have looked at this in the last few hrs,172,6 people have looked at this in the last few hrs.,<num> person have looked at this in the last few hrs
Social Proof,Activity Notifications,Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,hayden near princeton just bought cbd vegan gummies,238,Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,hayden near princeton just bought cbd vegan gummies
Misdirection,Confirmshaming,"No thank you, I prefer to pay for shipping.",no thank you i prefer to pay for shipping,386,"No thank you, I prefer to pay for shipping.",no thank you i prefer to pay for shipping
Misdirection,Confirmshaming,Keep bonus points active by clicking Get deal,keep bonus points active by clicking get deal,361,Keep bonus points active by clicking Get deal,keep bonus points active by clicking get deal
Misdirection,Trick Questions,Almost there confirm details to receive VIP access,almost there confirm details to receive vip access,618,Almost there confirm details to receive VIP access,almost there confirm details to receive vip access
Social Proof,Activity Notifications,"Tyler in Norwalk, United States purchased a",tyler in norwalk united states purchase a,113,"Tyler in Norwalk, United States purchased a",tyler in norwalk united states purchase a
Misdirection,Pressured Selling,Continue with Basic to keep top rated for reliability,continue with basic to keep top rated for reliability,529,Continue with Basic to keep top rated for reliability,continue with basic to keep top rated for reliability
Social Proof,Activity Notifications,11 people have purchased this item,<num> person have purchase this item,1,"2,221 people have purchased this item",<num> person have purchase this item
Social Proof,Activity Notifications,Popular badge earned from 95 plus purchases,popular badge earned from <num> plus purchases,18,Popular badge earned from 95 plus purchases,popular badge earned from <num> plus purchases
Social Proof,Activity Notifications,1 people bought Jotter To Do Refill in the last few hours,<num> person bought jotter to do refill in the last few hours,194,1 people bought Jotter To Do Refill in the last few hours,<num> person bought jotter to do refill in the last few hours
Social Proof,Activity Notifications,Trending now 51 customers are viewing this item,trending now <num> customers are view this item,9,Trending now 50 customers are viewing this item,trending now <num> customers are view this item
Social Proof,Activity Notifications,"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",someone from south gate california just purchase the admiral jr spektrum servo connector plug set male and female - <num> pairs,129,"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",someone from south gate california just purchase the admiral jr spektrum servo connector plug set male and female - <num> pairs
Misdirection,Trick Questions,Auto renew is enabled to avoid interruption toggle anytime in settings,auto renew is enabled to avoid interruption toggle anytime in settings,616,Auto renew is enabled to avoid interruption toggle anytime in settings,auto renew is enabled to avoid interruption toggle anytime in settings
Misdirection,Pressured Selling,Your wireless earbuds includes priority support unless removed,your wireless earbuds includes priority support unless removed,546,Your wireless earbuds includes priority support unless removed,your wireless earbuds includes priority support unless removed
Social Proof,Activity Notifications,715 people have added this item to cart,<num> person have added this item to cart,3,17 people have added this item to cart,<num> person have added this item to cart
Misdirection,Pressured Selling,Your luggage set includes data export unless removed,your luggage set includes data export unless removed,442,Your luggage set includes data export unless removed,your luggage set includes data export unless removed
Misdirection,Confirmshaming,"No, I don't feel lucky.",no i don t feel lucky,306,"NO, I DON'T FEEL LUCKY",no i don t feel lucky
Social Proof,Activity Notifications,660 people have viewed today,<num> person have view today,184,660 people have viewed today,<num> person have view today
Misdirection,Pressured Selling,LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,limited time offer grab a matching pair save up <num>,521,LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,limited time offer grab a matching pair save up <num>
Misdirection,Pressured Selling,Your cart includes priority support free to remove later,your cart includes priority support free to remove later,431,Your cart includes priority support free to remove later,your cart includes priority support free to remove later
Social Proof,Activity Notifications,High demand 100 views in 3 hours,high demand <num> views in <num> hours,8,High demand 19 views in 6 hours,high demand <num> views in <num> hours
Social Proof,Activity Notifications,99 people are looking at this right now,<num> person are looking at this right now,215,99 people are looking at this right now,<num> person are looking at this right now
