String,Type,label,predicate
from France,Not Dark Pattern,0,None
Only 16531 items left in stock!,Scarcity,1,Low-stock Messages
No thanks. I don’t want deals.,Misdirection,1,Confirmshaming
Other people want this. 10 people have this in their cart right now.,Social Proof,1,Activity Notifications
Over 200 views in 24 hrs,Social Proof,1,Activity Notifications
Quick Release,Not Dark Pattern,0,None
BACK TO TOP,Not Dark Pattern,0,None
Only: 9 in stock now,Scarcity,1,Low-stock Messages
Sale Ends in 5 days 14 hours 42 mins 53 sec,Urgency,1,Countdown Timers
"No Thanks, I don't want official software at the best price.",Misdirection,1,Confirmshaming
994 items sold this hour.,Social Proof,1,Activity Notifications
"No thanks, I'd rather pay more",Misdirection,1,Confirmshaming
Zero Gravity Lift Chairs,Not Dark Pattern,0,None
Only 1 left,Scarcity,1,Low-stock Messages
"William in Pago Pago, United States purchased a",Social Proof,1,Activity Notifications
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",Social Proof,1,Activity Notifications
JFN Ladies Flat Embroidered Slip-On Dirty Shoes Vintage Thong Sandals,Not Dark Pattern,0,None
"No, I'd rather pay full price.",Misdirection,1,Confirmshaming
Time remaining: 04:50,Urgency,1,Countdown Timers
Plus Size Graphic Tops,Not Dark Pattern,0,None
0011Days:0088Hours:4411Minutes:21125445Seconds,Urgency,1,Countdown Timers
"is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *",Not Dark Pattern,0,None
Power Button Covers,Not Dark Pattern,0,None
Cracked Nipples,Not Dark Pattern,0,None
Website Accessibility,Not Dark Pattern,0,None
Rate & Review,Not Dark Pattern,0,None
Contact Lens Washer,Not Dark Pattern,0,None
Gemstone softwares,Not Dark Pattern,0,None
"These cookies are necessary for the website to function and cannot be switched off in our system. These cookies are usually only set in response to actions made by you which include a request for services, such as setting your privacy preferences or logging into your account.",Not Dark Pattern,0,None
Last purchase was 18 minutes ago by someone from Dublin,Social Proof,1,Activity Notifications
Discount pending $10 OFF 00:30:00,Urgency,1,Countdown Timers
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,Social Proof,1,Activity Notifications
Out of Stock!,Not Dark Pattern,0,None
"Carl F. from Fort Ann, NY bought a King",Social Proof,1,Activity Notifications
Romper Swimwear,Not Dark Pattern,0,None
"Hurry, Limited Time Offer! 11:25",Urgency,1,Countdown Timers
How White Cloud Prevents E-Cig Sales to Minors Read More ➞,Not Dark Pattern,0,None
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,Urgency,1,Countdown Timers
Women's Sandals,Not Dark Pattern,0,None
The best!,Not Dark Pattern,0,None
"No thanks, I don't like winning.",Misdirection,1,Confirmshaming
In stock | 44 left,Scarcity,1,Low-stock Messages
Primary Arms Scopes,Not Dark Pattern,0,None
Cordless Phones For Seniors,Not Dark Pattern,0,None
Carpet Python Vivariums,Not Dark Pattern,0,None
ONLY 8 LEFT,Scarcity,1,Low-stock Messages
Installation InstructionsPolicies & Terms of UseFinancingSite Map,Not Dark Pattern,0,None
"Email us ASAP (like seriously) at getflat@flattummyco.com and we will do everything we can to update this for you. As soon as you order, we will send you a confirmation email so please check your details carefully.",Not Dark Pattern,0,None
Compare at,Misdirection,1,Trick Questions
Your order is reserved for 29:52 minutes!,Urgency,1,Countdown Timers
Plus Size Shirts and Blouses,Not Dark Pattern,0,None
Canvas Wall Art,Not Dark Pattern,0,None
"N++ is all about using your momentum to complete levels and get high scores, but in this sci-fi world, there’s a slew of inadvertently homicidal enemy robots trying to prevent you from completing your goal.",Not Dark Pattern,0,None
ONLY 4 LEFT!,Scarcity,1,Low-stock Messages
Shipping and Duties,Not Dark Pattern,0,None
Share this product,Not Dark Pattern,0,None
GCC Compliance,Not Dark Pattern,0,None
Limited time - final price reflects extra 29% off,Urgency,1,Limited-time Messages
LightInTheBox 掲載記事,Not Dark Pattern,0,None
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern,0,None
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,Urgency,1,Countdown Timers
Cayman Islands USD,Not Dark Pattern,0,None
BSA FAC Air Rifles,Not Dark Pattern,0,None
Contact Support,Not Dark Pattern,0,None
Your AccountTrack Your OrdersJoin Celebrations Passport,Not Dark Pattern,0,None
Would you like to purchase an Extended Protection Plan?,Misdirection,1,Trick Questions
Sale ends soon,Urgency,1,Limited-time Messages
"Hurry, only 1 left in stock!",Scarcity,1,Low-stock Messages
Only one left in stock - order soon!,Scarcity,1,Low-stock Messages
"Great prices, professional customer services",Not Dark Pattern,0,None
5 Viewing This Product,Social Proof,1,Activity Notifications
All Scrapbooking Supplies,Not Dark Pattern,0,None
Boardshorts,Not Dark Pattern,0,None
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Social Proof,1,Activity Notifications
Offer ends in 9hrs 55min 29sec!,Urgency,1,Countdown Timers
The Hoop Destination. Discover more,Not Dark Pattern,0,None
Base Layer & Thermals,Not Dark Pattern,0,None
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Urgency,1,Limited-time Messages
ROAD CLOTHING,Not Dark Pattern,0,None
Spring Styles,Not Dark Pattern,0,None
Manage Consent Preferences,Not Dark Pattern,0,None
🔥👁️ 1 person is viewing this.,Social Proof,1,Activity Notifications
Grab yourself a bargain!,Misdirection,1,Pressured Selling
I do not want to protect my item,Misdirection,1,Trick Questions
"No Thanks, I don't like free stuff.",Misdirection,1,Confirmshaming
No thanks. I'd rather pay full price.,Misdirection,1,Confirmshaming
Sale By Category,Not Dark Pattern,0,None
Choose which store you would like to visit,Not Dark Pattern,0,None
RECENTLY VIEWED 2 others viewed this in the last few hours,Social Proof,1,Activity Notifications
9 people are viewing this.,Social Proof,1,Activity Notifications
View all Oil & Acrylic Brushes categories,Not Dark Pattern,0,None
(5 Left),Scarcity,1,Low-stock Messages
SAVE $300.00\nfor limited time,Urgency,1,Limited-time Messages
3 Left,Scarcity,1,Low-stock Messages
TV & Home Appliances,Not Dark Pattern,0,None
Only 3 items left,Scarcity,1,Low-stock Messages
Crop Tops,Not Dark Pattern,0,None
More Sports,Not Dark Pattern,0,None
WAX Jeans,Not Dark Pattern,0,None
"NO THANKS, I DON’T MIND MISSING OUT",Misdirection,1,Confirmshaming
2day 13:49:51 Left,Urgency,1,Countdown Timers
Terrarium Light Canopies,Not Dark Pattern,0,None
61 people have already bought that product today with 50% discount,Social Proof,1,Activity Notifications
00 DAYS 00 HOURS 29 MINUTES 26 SECONDS,Urgency,1,Countdown Timers
Current Offers,Not Dark Pattern,0,None
Horizon Wide Neck Sweatshirt,Not Dark Pattern,0,None
Supply & Demand,Not Dark Pattern,0,None
"No Thanks, I don't want a discount",Misdirection,1,Confirmshaming
Get The Look The Full Story Shop Now Read More,Not Dark Pattern,0,None
Someone in Egypt bought,Social Proof,1,Activity Notifications
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Social Proof,1,Activity Notifications
All Clothing,Not Dark Pattern,0,None
Shop by Activity,Not Dark Pattern,0,None
Functional Marketing Cookies,Not Dark Pattern,0,None
"NO, I'LL PAY FULL PRICE",Misdirection,1,Confirmshaming
Low in stock: only 1 left.,Scarcity,1,Low-stock Messages
View All Parts,Not Dark Pattern,0,None
We only have 8.0000 left in Stock,Scarcity,1,Low-stock Messages
"No, thanks. I'd prefer not to save.",Misdirection,1,Confirmshaming
"Someone in Ampang, Malaysia just bought",Social Proof,1,Activity Notifications
Pillow & Foam Bed Wedges,Not Dark Pattern,0,None
Straight Hair Extensions,Not Dark Pattern,0,None
Harry Potter,Not Dark Pattern,0,None
"Hurry, Limited Time Offer! 11:25",Urgency,1,Countdown Timers
Security Cameras,Not Dark Pattern,0,None
REPLACE-WITH-DYANMIC-HOST-ID,Not Dark Pattern,0,None
1 person is viewing this,Social Proof,1,Activity Notifications
"No Thanks, I don't like exclusive deals.",Misdirection,1,Confirmshaming
Strength & Functional Training,Not Dark Pattern,0,None
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",Social Proof,1,Activity Notifications
Fashion Short Sleeve Crew Neck Print Dress,Not Dark Pattern,0,None
WhiteBoho Rose Comforter and Sham Set,Not Dark Pattern,0,None
No thanks I definitely measured correctly,Misdirection,1,Confirmshaming
"Nah, I like paying full price",Misdirection,1,Confirmshaming
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,Not Dark Pattern,0,None
30 people have purchased this item,Social Proof,1,Activity Notifications
Body Washes,Not Dark Pattern,0,None
Beetle Remotes,Not Dark Pattern,0,None
Customers also bought,Misdirection,1,Pressured Selling
Hair Care Sets,Not Dark Pattern,0,None
"Hurry, Only 4 Left In Stock. Buy Now!",Scarcity,1,Low-stock Messages
Plus Size Ripped Jeans,Not Dark Pattern,0,None
Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.,Not Dark Pattern,0,None
Subscribe To Us Subscribe,Not Dark Pattern,0,None
"no thanks, I don't like to save",Misdirection,1,Confirmshaming
How to Recycle,Not Dark Pattern,0,None
limited availability at this price!,Scarcity,1,High-demand Messages
"No thanks, I don’t like fun and games.",Misdirection,1,Confirmshaming
Shop by Activity,Not Dark Pattern,0,None
Your order is reserved for 09:56 minutes!,Urgency,1,Countdown Timers
No thanks. I don’t want to save money.,Misdirection,1,Confirmshaming
Rachel Comey,Not Dark Pattern,0,None
I don't want a discount,Misdirection,1,Confirmshaming
"No, I Don't Like Discounts",Misdirection,1,Confirmshaming
Most of our orders are from repeat customers.,Not Dark Pattern,0,None
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Urgency,1,Limited-time Messages
Track your order by entering your order number and email below or if you would like to create an account or log in (click here),Not Dark Pattern,0,None
Retro Cordless Edison Bulb Lamp,Not Dark Pattern,0,None
Cart will expire in 08:19 minutes!,Urgency,1,Countdown Timers
"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",Social Proof,1,Activity Notifications
Only 6 items left,Scarcity,1,Low-stock Messages
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Social Proof,1,Activity Notifications
"NO, THANKS. I DON'T LIKE DISCOUNTS",Misdirection,1,Confirmshaming
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Urgency,1,Limited-time Messages
Bearded Dragon Substrates,Not Dark Pattern,0,None
All Brands A-Z,Not Dark Pattern,0,None
6 customers have this in their basket,Social Proof,1,Activity Notifications
DAYS HRS MINS SECS,Urgency,1,Countdown Timers
Only 4 left!,Scarcity,1,Low-stock Messages
Gift Card FAQs,Not Dark Pattern,0,None
Immunity & Well BeingLean Muscle MassWeight LossBulk GainStress & Relaxation,Not Dark Pattern,0,None
"No, thanks. I'd rather pay full price.",Misdirection,1,Confirmshaming
Select Occasion close,Not Dark Pattern,0,None
"Only 2 left, order soon",Scarcity,1,Low-stock Messages
Over 38 bought,Social Proof,1,Activity Notifications
Other Snacks,Not Dark Pattern,0,None
Accessibly App features,Not Dark Pattern,0,None
Only 9 left in stock,Scarcity,1,Low-stock Messages
Products,Not Dark Pattern,0,None
"... It covers love and loss, friendship and pain through",Not Dark Pattern,0,None
Join the Team,Not Dark Pattern,0,None
"No thanks, free stuff isn't for me.",Misdirection,1,Confirmshaming
Fashion Forward,Not Dark Pattern,0,None
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,Misdirection,1,Pressured Selling
Only 4 left in this size!,Scarcity,1,Low-stock Messages
Limited-time Offer: Bundle a base and get 20% off,Misdirection,1,Pressured Selling
Price Guaranteed For DAYS/HRS/MINS/SECS,Urgency,1,Countdown Timers
TRE by Natalie Ratabesi,Not Dark Pattern,0,None
Ericdress Round Neck Three-Quarter Sleeve Mid-Calf Pullover Fall Women's Dress,Not Dark Pattern,0,None
"No thanks, I don’t want to save",Misdirection,1,Confirmshaming
Redirecting to Futech Deals for secure checkout...,Not Dark Pattern,0,None
Men's Apparel Collection,Not Dark Pattern,0,None
User interface customization persistent cookies are used to store a user’s preference regarding a service. Please note that these cookies are exempt from consent.,Not Dark Pattern,0,None
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",Social Proof,1,Activity Notifications
Free Embroidery Patterns,Not Dark Pattern,0,None
Hurry up! 6 people other than you have this product in their cart,Social Proof,1,Activity Notifications
I'll Shop Without A Discount,Misdirection,1,Confirmshaming
Camo Shirts & T Shirts,Not Dark Pattern,0,None
Offer ends in 9hrs 55min 29sec!,Urgency,1,Countdown Timers
Hurry! Only 7 left,Scarcity,1,Low-stock Messages
White Camo Windbreaker - Rock N' Roll,Not Dark Pattern,0,None
In Stock - Limited Quantity,Scarcity,1,Low-stock Messages
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",Misdirection,1,Trick Questions
-90% discount if you order within 9:55:44,Urgency,1,Countdown Timers
Newborn & InfantYouthAdjustableFlexSnapbacksSale Items- View All -,Not Dark Pattern,0,None
LIMITED TIME OFFER,Urgency,1,Limited-time Messages
Your cart is reserved for 14:57 minutes!,Urgency,1,Countdown Timers
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Social Proof,1,Activity Notifications
All Men's Brands,Not Dark Pattern,0,None
$132.90 $99.00,Misdirection,1,Pressured Selling
• State-by-State Restrictions,Not Dark Pattern,0,None
Light powerful.,Not Dark Pattern,0,None
Bob's Outreach,Not Dark Pattern,0,None
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Social Proof,1,Activity Notifications
tedpullin,Not Dark Pattern,0,None
Lasers,Not Dark Pattern,0,None
5 people are looking at this product right now,Social Proof,1,Activity Notifications
Back by Demand,Not Dark Pattern,0,None
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Social Proof,1,Activity Notifications
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern,0,None
Search Close,Not Dark Pattern,0,None
"Hurry, this style is selling fast!",Scarcity,1,High-demand Messages
Green Tea is made up of properties that have been known to increase caloric expenditure as well as the metabolism of fat,Not Dark Pattern,0,None
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Urgency,1,Limited-time Messages
"Michael in Pontiac, United States purchased a",Social Proof,1,Activity Notifications
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Social Proof,1,Activity Notifications
Work Solid Simple Crew Neck Half Sleeve Top,Not Dark Pattern,0,None
Delivery & support,Not Dark Pattern,0,None
Hurry! Only 2 left in stock,Scarcity,1,Low-stock Messages
Bathroom Lighting,Not Dark Pattern,0,None
Articles: Medical Matters,Not Dark Pattern,0,None
Lenscap: Damage Only,Misdirection,1,Trick Questions
style to command,Not Dark Pattern,0,None
Only 1 item(s) left in stock,Scarcity,1,Low-stock Messages
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",Social Proof,1,Activity Notifications
"$3,159.20 $3,949.00 Limited time only",Urgency,1,Limited-time Messages
Casual Wear,Not Dark Pattern,0,None
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",Misdirection,1,Trick Questions
"No thanks, I don't like discounts",Misdirection,1,Confirmshaming
52 people are looking at this right now.,Social Proof,1,Activity Notifications
All Men's Brands,Not Dark Pattern,0,None
308 viewed per day,Social Proof,1,Activity Notifications
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Urgency,1,Limited-time Messages
Shopping with JD,Not Dark Pattern,0,None
Your order is reserved for 09:14 minutes!,Urgency,1,Countdown Timers
273 units sold in the last 30 days,Social Proof,1,Activity Notifications
Thanks! -RMO Team,Not Dark Pattern,0,None
powered by: Cookie Information,Not Dark Pattern,0,None
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",Social Proof,1,Activity Notifications
Only 8 Left!,Scarcity,1,Low-stock Messages
eWriters & Graphics Tablets,Not Dark Pattern,0,None
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Social Proof,1,Activity Notifications
Only a few more left!,Scarcity,1,Low-stock Messages
Cleaning Brushes & Tools,Not Dark Pattern,0,None
"NO, I DON'T FEEL LUCKY",Misdirection,1,Confirmshaming
Score! You've Qualified for a Checkout Bonus,Misdirection,1,Pressured Selling
Best-Selling Products,Not Dark Pattern,0,None
Brandon Blackwood,Not Dark Pattern,0,None
___,Not Dark Pattern,0,None
Mountboard,Not Dark Pattern,0,None
Shipping and Duties,Not Dark Pattern,0,None
ONLY 1 WATCH LEFT,Scarcity,1,Low-stock Messages
Pleated Skirts,Not Dark Pattern,0,None
Limited Time,Urgency,1,Limited-time Messages
New Arrivals,Not Dark Pattern,0,None
"Fancy some creative inspiration, news and offers? Sign up for SAA enewsletters today.",Not Dark Pattern,0,None
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Urgency,1,Countdown Timers
Natural Backgrounds,Not Dark Pattern,0,None
"No Thanks, I'd rather pay full price",Misdirection,1,Confirmshaming
"NO THANKS, I DON'T LIKE FREE STUFF",Misdirection,1,Confirmshaming
OFFER ENDS 00:54:59,Urgency,1,Countdown Timers
Lens Manual Washer,Not Dark Pattern,0,None
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",Not Dark Pattern,0,None
Great choice!,Not Dark Pattern,0,None
OFFER ENDS: 09h: 09m: 55s: 0,Urgency,1,Countdown Timers
Electric Daisy,Not Dark Pattern,0,None
ONLY 1 LEFT IN STOCK,Scarcity,1,Low-stock Messages
Baby Boy Jumpsuits and Rompers,Not Dark Pattern,0,None
Warne Mounts,Not Dark Pattern,0,None
(LIMITED TIME OFFER) TORSION GUN HOLSTER SUPER COMBO,Urgency,1,Limited-time Messages
WAX Jeans,Not Dark Pattern,0,None
Herbaceous oil rich in anti-aging polyphenols.,Not Dark Pattern,0,None
Brushes + Tools,Not Dark Pattern,0,None
HomeFlowersColourful Mixed Roses Bouquet,Not Dark Pattern,0,None
Learn More,Not Dark Pattern,0,None
Free Shipping & Easy Returns always!,Not Dark Pattern,0,None
"NO THANKS, I'll PAY FULL PRICE",Misdirection,1,Confirmshaming
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,Urgency,1,Countdown Timers
1 in Stock,Scarcity,1,Low-stock Messages
Hot Offer. Limited Time,Urgency,1,Limited-time Messages
Yearly,Not Dark Pattern,0,None
Read More,Not Dark Pattern,0,None
"Born for adventures across land, desert, and ice. Cruise over Tarmac-free roads or adapt it to be your 'do anything' commuter.",Not Dark Pattern,0,None
"No Thanks, I'd Rather Pay Full Price",Misdirection,1,Confirmshaming
Fast Mover: 35 PEOPLE added this to cart today!,Social Proof,1,Activity Notifications
Sale Coats and Jackets,Not Dark Pattern,0,None
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Urgency,1,Limited-time Messages
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Urgency,1,Countdown Timers
Only 2 left!,Scarcity,1,Low-stock Messages
History Of The NRA,Not Dark Pattern,0,None
"No thanks, I want to pay full price",Misdirection,1,Confirmshaming
"The site was easy to navigate. I haven't received my shoes yet, but overall a good experience.",Not Dark Pattern,0,None
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Social Proof,1,Activity Notifications
Hair Care Remedies,Not Dark Pattern,0,None
52 people have added this product to bag in the last 72 hours,Social Proof,1,Activity Notifications
Microsoft Xbox One S Wireless Controller »,Not Dark Pattern,0,None
View In Your Room,Not Dark Pattern,0,None
Baby Boy Jumpsuits and Rompers,Not Dark Pattern,0,None
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Misdirection,1,Confirmshaming
"No thanks, I don't like deals.",Misdirection,1,Confirmshaming
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Social Proof,1,Activity Notifications
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Misdirection,1,Confirmshaming
Mallet E Speed Lace - Black/Silver,Not Dark Pattern,0,None
Color Block,Not Dark Pattern,0,None
Sign In / Join,Not Dark Pattern,0,None
Last purchased at 11:19am today.,Social Proof,1,Activity Notifications
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Urgency,1,Limited-time Messages
"Roommates agreement... need i say more? this is a great poster for the walls of any house that has more than one person living in it. if you're alone, get it all the same - it'll make you laugh at any given time :)",Not Dark Pattern,0,None
"No thanks, I like paying full price",Misdirection,1,Confirmshaming
Thermostats,Not Dark Pattern,0,None
Only 1 in stock,Scarcity,1,Low-stock Messages
New Rifles,Not Dark Pattern,0,None
No thanks. I don't like free things...,Misdirection,1,Confirmshaming
ONLY AVAILABLE FOR A LIMITED TIME,Urgency,1,Limited-time Messages
Graphic T-Shirts,Not Dark Pattern,0,None
ONLY 3 LEFT,Scarcity,1,Low-stock Messages
Terra - Medium Brown,Not Dark Pattern,0,None
Only 8 left in stock,Scarcity,1,Low-stock Messages
Call It Spring,Not Dark Pattern,0,None
"Once a celebrated author of short stories now in his twilight years,",Not Dark Pattern,0,None
Colors,Not Dark Pattern,0,None
Colored Contact Lenses,Not Dark Pattern,0,None
Competitor Price: $172.00,Misdirection,1,Pressured Selling
New in,Not Dark Pattern,0,None
Flash Sale ends in SHOP NOW,Urgency,1,Limited-time Messages
Spin to unlock your mystery offer,Misdirection,1,Trick Questions
ADD FOR BETTER RESULTS,Misdirection,1,Pressured Selling
Year of Ours,Not Dark Pattern,0,None
JFN Scallop V Neck Solid Casual T-Shirt/Tee,Not Dark Pattern,0,None
Ericdress Summer Patchwork Polyester Long Women's Tank Top,Not Dark Pattern,0,None
"No thanks, I prefer to pay more for shoes!",Misdirection,1,Confirmshaming
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Social Proof,1,Activity Notifications
Glow Gear,Not Dark Pattern,0,None
"For any other inquiries, Click here",Not Dark Pattern,0,None
Your cart is reserved for 09:35 minutes.,Urgency,1,Countdown Timers
135 people have this in their cart,Social Proof,1,Activity Notifications
ON SALE AT $1.99 FOR A LIMITED TIME,Urgency,1,Limited-time Messages
Only 69 left!,Scarcity,1,Low-stock Messages
LOW IN STOCK!! GET YOURS NOW,Scarcity,1,Low-stock Messages
HURRY! £32.99 UK DELIVERY ENDS SOON,Urgency,1,Limited-time Messages
Tweet Share Pin It Add Email,Not Dark Pattern,0,None
5 in stock,Scarcity,1,Low-stock Messages
1 left in stock,Scarcity,1,Low-stock Messages
"Easy, awesome! ready to go. Held a charge first night",Not Dark Pattern,0,None
Champagne Taittinger,Not Dark Pattern,0,None
251 people are viewing this right now,Social Proof,1,Activity Notifications
C.P. Company,Not Dark Pattern,0,None
All Scrapbooking Supplies,Not Dark Pattern,0,None
only 5 left in stock!,Scarcity,1,Low-stock Messages
2day 13:49:51 Left,Urgency,1,Countdown Timers
Coffee,Not Dark Pattern,0,None
Memory Cards,Not Dark Pattern,0,None
Grey Jewelry,Not Dark Pattern,0,None
Hair Color + Highlights,Not Dark Pattern,0,None
"No thanks, I don't like good deals.",Misdirection,1,Confirmshaming
Lace Front African American Wigs,Not Dark Pattern,0,None
"[NO THANKS, I'LL JUST WALK]",Misdirection,1,Confirmshaming
(only 5 left),Scarcity,1,Low-stock Messages
Digital Device Covers,Not Dark Pattern,0,None
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",Misdirection,1,Trick Questions
We don't give out your details to third parties.,Not Dark Pattern,0,None
"Yes, I Want To Save Money!No Thanks",Misdirection,1,Confirmshaming
"No thanks, I’d rather pay full price.",Misdirection,1,Confirmshaming
"No thanks, I don't like getting free stuff.",Misdirection,1,Confirmshaming
Institute for Legislative Action,Not Dark Pattern,0,None
Midleton Very Rare,Not Dark Pattern,0,None
Surgical & Face Masks,Not Dark Pattern,0,None
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Social Proof,1,Activity Notifications
HOW TO MANAGE SIDE EFFECTS,Not Dark Pattern,0,None
"Someone in Chambersburg, Pennsylvania purchased",Social Proof,1,Activity Notifications
"Don't miss out, only 2 left in stock",Scarcity,1,Low-stock Messages
"After getting my jersey on Monday, I am hooked on CoolHockey. I will surely be buying from CoolHockey from now on.",Not Dark Pattern,0,None
American Diamond Earrings,Not Dark Pattern,0,None
ADD FOR BETTER RESULTS,Misdirection,1,Pressured Selling
AdjustableSnapbacksSale Items- View All -,Not Dark Pattern,0,None
"Born for adventures across land, desert, and ice. Cruise over Tarmac-free roads or adapt it to be your 'do anything' commuter.",Not Dark Pattern,0,None
.,Not Dark Pattern,0,None
Clear filter,Not Dark Pattern,0,None
How about one of these hot sellers?,Misdirection,1,Pressured Selling
Complete your purchase within the next 12:18 minutes and receive 10% off,Urgency,1,Countdown Timers
I don't like discounts,Misdirection,1,Confirmshaming
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Social Proof,1,Activity Notifications
Only 2 copies left,Scarcity,1,Low-stock Messages
Stone Cold Steve Austin,Not Dark Pattern,0,None
Hurry Up! Only 1 Piece Left,Scarcity,1,Low-stock Messages
STAY IN THE LOOP!,Not Dark Pattern,0,None
"Hurry, limited quantities left!",Scarcity,1,Low-stock Messages
V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for.,Not Dark Pattern,0,None
Shirts & Blouses,Not Dark Pattern,0,None
+ Performance Cookies,Not Dark Pattern,0,None
Also notify me about New Arrivals!,Not Dark Pattern,0,None
FootwearHome & Office,Not Dark Pattern,0,None
Flat Iron,Not Dark Pattern,0,None
Your order is reserved for 09:54 minutes!,Urgency,1,Countdown Timers
"No thanks, I'd rather pay full price.",Misdirection,1,Confirmshaming
Hurry! Only 15 left!,Scarcity,1,Low-stock Messages
Viewed 744 times today,Social Proof,1,Activity Notifications
"In stock, only 1 products left",Scarcity,1,Low-stock Messages
"No thanks, I don't like promotions and exclusive content.",Misdirection,1,Confirmshaming
help@postergully.com,Not Dark Pattern,0,None
[new-troh-pick],Not Dark Pattern,0,None
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Urgency,1,Countdown Timers
"No thanks, I don't like deals.",Misdirection,1,Confirmshaming
9 sold in last 4 hours,Social Proof,1,Activity Notifications
Hurry! Only 9 left in stock.,Scarcity,1,Low-stock Messages
"No Thanks, I Don't Like Exclusive Offers.",Misdirection,1,Confirmshaming
LESS THAN 5 LEFT!,Scarcity,1,Low-stock Messages
Clarity Remotes,Not Dark Pattern,0,None
3 left in stock,Scarcity,1,Low-stock Messages
New Arrivals,Not Dark Pattern,0,None
High Gable Sheds,Not Dark Pattern,0,None
Stone Cold Steve Austin,Not Dark Pattern,0,None
"Now 20% off, hurry limited time offer!",Urgency,1,Limited-time Messages
